0 52 31 88 7 82 83 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 0 # 0 95 99 59 98 85 5 84 61 16 44 14 38 86 17 45 8 46 48 60 89 0 # 0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 28 12 76 29 33 51 9 81 71 66 65 35 34 78 79 3 77 68 80 24 54 26 0 # 0 27 69 70 30 63 11 19 47 36 49 64 62 10 90 32 20 1 50 0 # | 0.9 0.09999999999999998 
0 2 95 99 59 98 85 5 84 61 16 44 14 38 86 17 45 8 46 36 49 48 60 89 0 # 0 53 40 21 73 72 75 56 39 67 23 41 22 74 4 25 55 54 24 68 80 26 58 0 # 0 27 69 31 52 83 82 47 19 11 64 63 90 62 88 7 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 0 # 0 28 12 76 29 78 71 9 81 33 51 30 50 77 3 79 34 35 65 66 20 32 10 70 1 0 # | 0.6 0.4 
0 52 18 6 94 13 58 53 0 # 0 27 69 31 88 62 63 90 30 51 71 9 81 33 77 50 3 79 78 34 35 65 66 20 32 10 70 1 0 # 0 95 59 98 85 61 16 86 38 44 14 87 57 15 43 42 97 92 37 100 91 93 60 48 89 0 # 0 5 83 8 82 7 47 19 11 64 49 36 46 45 17 84 99 96 0 # 0 28 76 29 12 40 2 73 21 72 75 41 22 74 23 67 39 56 4 25 55 54 24 68 80 26 0 # | 0.6 0.4 
0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 95 59 98 44 14 38 86 16 61 85 93 99 6 94 13 87 57 15 43 42 97 92 37 100 91 96 0 # 0 27 69 50 77 3 68 80 24 54 26 0 # 0 52 31 30 63 11 19 47 82 83 5 18 7 88 62 90 64 49 36 46 8 45 17 84 60 48 89 0 # 0 28 12 76 29 79 33 51 71 9 81 78 34 35 65 66 20 32 10 70 1 0 # | 0.6 0.4 
0 95 99 59 98 44 14 38 86 16 85 61 84 17 45 8 46 36 49 62 10 32 66 20 1 50 0 # 0 28 76 29 12 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 27 69 31 70 30 51 9 33 81 71 65 35 34 78 79 3 77 68 80 24 54 26 0 # 0 52 5 83 82 47 19 11 64 63 90 88 7 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 60 48 89 0 # | 0.6 0.4 
0 27 69 31 70 30 51 9 33 81 71 66 65 35 34 78 79 3 77 68 80 24 54 26 0 # 0 95 99 59 98 44 14 38 86 16 85 61 84 17 45 8 46 36 49 62 10 32 20 1 50 0 # 0 52 5 83 82 47 19 11 64 63 90 88 7 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 60 48 89 0 # 0 28 76 29 12 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # | 0.5 0.5 
0 5 83 82 47 19 63 90 30 51 71 9 81 33 77 50 3 79 78 34 35 65 66 20 32 10 70 1 0 # 0 2 95 59 98 44 14 38 86 16 61 85 93 99 94 13 87 57 15 43 42 97 92 37 100 91 60 48 89 0 # 0 53 40 21 73 72 75 56 39 67 23 41 22 74 4 25 55 54 24 68 80 26 58 0 # 0 28 12 29 76 27 69 31 52 18 7 88 62 11 64 49 36 46 8 45 17 84 96 6 0 # | 0.5 0.5 
0 27 69 31 70 30 51 33 81 71 66 65 35 9 34 78 79 3 77 68 80 24 54 26 0 # 0 52 5 83 82 47 19 11 64 63 90 88 7 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 60 48 89 0 # 0 28 76 29 12 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 95 99 59 98 44 14 38 86 16 85 61 84 17 45 8 46 36 49 62 10 32 20 1 50 0 # | 0.5 0.5 
0 28 12 76 29 79 33 51 71 9 81 78 34 35 65 66 20 32 10 70 1 50 0 # 0 27 69 31 30 63 11 19 47 82 18 7 88 62 90 64 49 36 46 8 45 17 84 96 6 0 # 0 52 83 5 99 95 59 98 85 61 16 86 38 44 14 57 87 94 13 58 53 26 77 3 68 80 24 54 55 25 4 0 # 0 40 2 73 21 72 75 23 67 39 56 74 22 41 15 43 42 97 92 37 100 91 93 60 48 89 0 # | 0.5 0.5 
0 28 76 29 12 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 95 99 59 98 44 14 38 86 16 85 61 84 17 45 8 46 36 49 62 10 32 20 1 0 # 0 52 5 83 82 47 19 11 64 63 90 88 7 18 6 94 13 87 57 15 43 42 97 92 37 100 91 93 96 60 48 89 0 # 0 27 69 31 70 30 51 9 81 71 66 65 35 34 78 79 33 50 3 77 68 80 24 54 26 0 # | 0.5 0.5 
0 52 31 30 63 11 19 47 82 8 83 5 18 7 88 62 90 64 49 36 46 45 17 84 96 6 0 # 0 95 59 98 44 14 38 86 16 61 85 93 99 94 13 87 57 15 43 42 97 92 37 100 91 60 48 89 0 # 0 40 2 73 21 72 75 23 67 39 25 55 4 56 74 22 41 58 53 0 # 0 28 12 76 29 79 9 71 51 33 81 78 34 35 65 66 20 32 10 70 1 0 # 0 27 69 50 77 3 68 80 24 54 26 0 # | 0.5 0.5 
0 27 69 31 88 62 63 90 30 51 71 9 81 33 77 50 3 79 78 34 35 65 66 20 32 10 70 1 0 # 0 52 82 47 8 83 18 7 19 11 64 49 36 46 45 17 84 96 97 42 43 37 100 91 60 48 89 0 # 0 95 92 98 59 5 61 16 86 38 14 44 85 93 99 6 94 13 58 53 0 # 0 28 76 29 12 40 21 72 75 73 2 87 57 15 41 22 74 23 56 39 67 25 55 4 54 24 68 80 26 0 # | 0.5 0.5 
0 40 2 73 21 72 75 23 67 39 56 74 22 41 15 57 43 42 97 92 37 100 91 93 60 48 89 0 # 0 27 69 31 30 63 11 19 47 82 18 7 88 62 90 64 49 36 46 8 45 17 84 96 6 0 # 0 52 83 5 99 95 59 98 85 61 16 86 38 44 14 87 94 13 58 53 26 77 3 68 80 24 54 55 25 4 0 # 0 28 12 76 29 79 33 51 71 9 81 78 34 35 65 66 20 32 10 70 1 50 0 # | 0.3 0.7 
0 95 92 98 44 14 38 86 16 61 85 93 59 99 6 94 13 58 53 0 # 0 28 76 29 12 40 21 72 75 73 2 87 57 15 41 22 74 23 56 39 67 25 55 4 54 24 68 80 26 0 # 0 27 69 31 88 62 63 90 30 51 71 9 81 33 77 50 3 79 78 34 35 65 66 20 32 10 70 1 0 # 0 52 82 47 8 83 5 18 7 19 11 64 49 36 46 45 17 84 96 97 42 43 37 100 91 60 48 89 0 # | 0.5 0.5 
0 40 2 95 59 98 85 61 16 86 38 44 14 15 87 94 13 58 53 50 3 77 68 80 24 54 26 0 # 0 28 76 29 12 21 73 72 75 23 67 39 25 55 4 56 74 22 41 57 43 42 97 92 37 100 91 93 60 48 89 0 # 0 52 82 47 8 83 5 18 7 19 11 64 49 36 46 45 17 84 99 96 6 0 # 0 27 69 31 88 62 63 90 30 51 71 9 81 33 79 78 34 35 65 66 20 32 10 70 1 0 # | 0.0 1.0 
