0 40 53 26 0 # 0 72 75 22 74 58 0 # 0 59 99 94 0 # 0 63 64 49 48 0 # 0 33 81 50 68 0 # 0 36 47 19 8 46 17 0 # 0 62 11 90 10 0 # 0 14 44 38 43 91 100 0 # 0 27 69 30 51 20 32 70 0 # 0 39 23 67 55 25 0 # 0 65 71 9 66 1 0 # 0 31 88 7 0 # 0 52 6 0 # 0 45 82 18 84 60 89 0 # 0 92 42 15 87 57 97 13 0 # 0 95 98 16 86 37 93 0 # 0 5 83 61 85 96 0 # 0 2 21 73 41 56 4 0 # 0 12 76 79 3 54 24 80 0 # 0 28 29 78 34 35 77 0 # | 0.6 0.4 
0 31 88 7 0 # 0 6 0 # 0 52 99 94 0 # 0 62 11 90 10 0 # 0 33 81 50 68 0 # 0 63 64 49 48 0 # 0 40 53 0 # 0 39 23 67 55 4 25 0 # 0 45 82 18 84 96 0 # 0 2 21 73 41 26 0 # 0 65 71 9 66 1 0 # 0 72 75 22 56 74 58 0 # 0 12 76 79 3 54 24 80 0 # 0 36 47 19 8 46 60 89 0 # 0 92 42 15 87 57 97 0 # 0 28 29 78 34 35 77 0 # 0 59 5 83 61 85 37 91 100 0 # 0 14 44 38 43 13 0 # 0 95 98 16 86 17 93 0 # 0 27 69 30 51 20 32 70 0 # | 0.6 0.4 
0 2 21 73 41 26 0 # 0 72 75 22 56 74 58 0 # 0 36 47 19 8 46 60 89 0 # 0 95 98 16 86 17 93 0 # 0 59 5 83 61 85 37 0 # 0 33 81 50 68 0 # 0 12 76 79 3 54 24 80 0 # 0 65 71 9 66 1 0 # 0 14 44 38 43 91 100 0 # 0 92 42 15 87 57 97 13 0 # 0 39 23 67 55 4 25 0 # 0 28 29 78 34 35 77 0 # 0 52 99 94 0 # 0 27 69 30 51 20 32 70 0 # 0 62 11 90 10 0 # 0 40 53 0 # 0 63 64 49 48 0 # 0 45 82 18 84 96 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 2 21 73 41 26 0 # 0 72 75 22 56 74 58 0 # 0 92 42 15 87 57 97 13 0 # 0 95 98 16 86 37 0 # 0 40 53 0 # 0 36 47 19 8 46 17 93 0 # 0 45 82 18 84 60 89 0 # 0 59 5 83 61 85 96 0 # 0 14 44 38 43 91 100 0 # 0 12 76 79 3 54 24 80 0 # 0 27 69 30 51 20 32 70 0 # 0 33 81 50 68 0 # 0 62 11 90 10 0 # 0 28 29 78 34 35 77 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 52 99 94 0 # 0 65 71 9 66 1 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 59 5 83 61 85 37 91 100 0 # 0 14 44 38 43 13 0 # 0 92 42 15 87 57 97 0 # 0 36 47 19 8 46 60 89 0 # 0 95 98 16 86 17 93 0 # 0 33 81 50 68 0 # 0 12 76 79 3 54 24 80 0 # 0 2 21 73 41 56 74 58 0 # 0 72 75 22 26 0 # 0 65 71 9 66 1 0 # 0 39 23 67 55 4 25 0 # 0 28 29 78 34 35 77 0 # 0 52 99 94 0 # 0 27 69 30 51 20 32 70 0 # 0 62 11 90 10 0 # 0 40 53 0 # 0 63 64 49 48 0 # 0 45 82 18 84 96 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 36 47 19 8 46 60 89 0 # 0 95 98 16 86 17 93 0 # 0 59 5 83 61 85 37 0 # 0 33 81 50 68 0 # 0 12 76 79 3 54 24 80 0 # 0 2 21 73 41 56 74 58 0 # 0 72 75 22 26 0 # 0 65 71 9 66 1 0 # 0 14 44 38 43 91 100 0 # 0 92 42 15 87 57 97 13 0 # 0 39 23 67 55 4 25 0 # 0 28 29 78 34 35 77 0 # 0 52 99 94 0 # 0 27 69 30 51 20 32 70 0 # 0 62 11 90 10 0 # 0 40 53 0 # 0 63 64 49 48 0 # 0 45 82 18 84 96 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 2 21 73 22 56 74 58 0 # 0 72 75 41 26 0 # 0 36 47 19 8 46 60 89 0 # 0 95 98 16 86 17 93 0 # 0 59 5 83 61 85 37 0 # 0 33 81 50 68 0 # 0 12 76 79 3 54 24 80 0 # 0 65 71 9 66 1 0 # 0 14 44 38 43 91 100 0 # 0 92 42 15 87 57 97 13 0 # 0 39 23 67 55 4 25 0 # 0 28 29 78 34 35 77 0 # 0 52 99 94 0 # 0 27 69 30 51 20 32 70 0 # 0 62 11 90 10 0 # 0 40 53 0 # 0 63 64 49 48 0 # 0 45 82 18 84 96 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 2 21 73 41 56 74 58 0 # 0 72 75 22 26 0 # 0 92 42 15 87 57 97 13 0 # 0 95 98 16 86 37 0 # 0 40 53 0 # 0 36 47 19 8 46 17 93 0 # 0 45 82 18 84 60 89 0 # 0 59 5 83 61 85 96 0 # 0 14 44 38 43 91 100 0 # 0 12 76 79 3 54 24 80 0 # 0 27 69 30 51 20 32 70 0 # 0 33 81 50 68 0 # 0 62 11 90 10 0 # 0 28 29 78 34 35 77 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 52 99 94 0 # 0 65 71 9 66 1 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 72 75 41 26 0 # 0 2 21 73 22 56 74 58 0 # 0 45 82 18 84 60 89 0 # 0 95 98 16 86 37 0 # 0 59 5 83 61 85 96 0 # 0 28 29 78 34 35 77 0 # 0 12 76 79 3 54 24 80 0 # 0 33 81 50 68 0 # 0 36 47 19 8 46 17 93 0 # 0 39 23 67 55 4 25 0 # 0 52 99 94 0 # 0 92 42 15 87 57 97 13 0 # 0 27 69 30 51 20 32 70 0 # 0 65 71 9 66 1 0 # 0 62 11 90 10 0 # 0 14 44 38 43 91 100 0 # 0 63 64 49 48 0 # 0 6 0 # 0 31 88 7 0 # 0 40 53 0 # | 0.6 0.4 
0 59 5 83 61 85 37 13 0 # 0 92 42 15 87 57 97 0 # 0 36 47 19 8 46 60 89 0 # 0 95 98 16 86 17 93 0 # 0 33 81 50 68 0 # 0 12 76 79 3 54 24 80 0 # 0 2 21 73 41 56 74 58 0 # 0 72 75 22 26 0 # 0 65 71 9 66 1 0 # 0 14 44 38 43 91 100 0 # 0 39 23 67 55 4 25 0 # 0 28 29 78 34 35 77 0 # 0 52 99 94 0 # 0 27 69 30 51 20 32 70 0 # 0 62 11 90 10 0 # 0 40 53 0 # 0 63 64 49 48 0 # 0 45 82 18 84 96 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 2 21 73 22 56 74 58 0 # 0 72 75 41 26 0 # 0 92 42 15 87 57 97 0 # 0 59 5 83 61 85 37 13 0 # 0 95 98 16 86 17 93 0 # 0 36 47 19 8 46 60 89 0 # 0 28 29 78 34 35 77 0 # 0 45 82 18 84 96 0 # 0 63 64 49 48 0 # 0 62 11 90 10 0 # 0 65 71 9 66 1 0 # 0 14 44 38 43 91 100 0 # 0 6 0 # 0 31 88 7 0 # 0 12 76 79 3 54 24 80 0 # 0 40 53 0 # 0 52 99 94 0 # 0 27 69 30 51 20 32 70 0 # 0 39 23 67 55 4 25 0 # 0 33 81 50 68 0 # | 0.6 0.4 
0 92 42 15 87 57 97 0 # 0 95 98 16 86 37 13 0 # 0 72 75 22 26 0 # 0 2 21 73 41 56 74 58 0 # 0 40 53 0 # 0 36 47 19 8 46 17 93 0 # 0 45 82 18 84 60 89 0 # 0 59 5 83 61 85 96 0 # 0 14 44 38 43 91 100 0 # 0 12 76 79 3 54 24 80 0 # 0 27 69 30 51 20 32 70 0 # 0 33 81 50 68 0 # 0 62 11 90 10 0 # 0 28 29 78 34 35 77 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 52 99 94 0 # 0 65 71 9 66 1 0 # 0 31 88 7 0 # 0 6 0 # | 0.6 0.4 
0 72 75 41 26 0 # 0 2 21 73 22 56 74 58 0 # 0 12 76 79 3 54 24 80 0 # 0 27 69 30 51 20 32 70 0 # 0 33 81 50 68 0 # 0 36 47 19 8 46 17 93 0 # 0 14 44 38 43 91 100 0 # 0 92 42 15 87 57 97 0 # 0 45 82 18 84 60 89 0 # 0 95 98 16 86 37 13 0 # 0 63 64 49 48 0 # 0 62 11 90 10 0 # 0 28 29 78 34 35 77 0 # 0 39 23 67 55 4 25 0 # 0 31 88 7 0 # 0 59 5 83 61 85 96 0 # 0 52 99 94 0 # 0 6 0 # 0 65 71 9 66 1 0 # 0 40 53 0 # | 0.6 0.4 
0 40 53 0 # 0 39 23 67 55 4 25 0 # 0 45 82 18 84 60 89 0 # 0 92 42 15 87 57 97 0 # 0 52 99 94 0 # 0 65 71 9 66 1 0 # 0 63 64 49 48 0 # 0 6 0 # 0 95 98 16 86 96 0 # 0 31 88 7 0 # 0 72 75 22 26 0 # 0 27 69 30 51 20 32 70 0 # 0 33 81 50 68 0 # 0 14 44 38 43 91 100 0 # 0 59 5 83 61 85 37 13 0 # 0 62 11 90 10 0 # 0 36 47 19 8 46 17 93 0 # 0 28 29 78 34 35 77 0 # 0 12 76 79 3 54 24 80 0 # 0 2 21 73 41 56 74 58 0 # | 0.6 0.4 
0 59 5 83 61 85 37 13 0 # 0 2 21 73 22 56 74 58 0 # 0 6 0 # 0 27 69 30 51 20 32 70 0 # 0 31 88 7 0 # 0 33 81 50 68 0 # 0 63 64 49 48 0 # 0 14 44 38 43 91 100 0 # 0 36 47 19 8 46 17 93 0 # 0 40 53 0 # 0 52 99 94 0 # 0 72 75 41 26 0 # 0 45 82 18 84 60 89 0 # 0 62 11 90 10 0 # 0 12 76 79 3 54 24 80 0 # 0 65 71 9 66 1 0 # 0 95 98 16 86 96 0 # 0 92 42 15 87 57 97 0 # 0 39 23 67 55 4 25 0 # 0 28 29 78 34 35 77 0 # | 0.6 0.4 
0 95 98 16 86 17 93 0 # 0 36 47 19 8 46 60 89 0 # 0 59 5 83 61 85 37 91 100 0 # 0 14 44 38 43 13 0 # 0 92 42 15 87 57 97 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 72 75 22 56 74 58 0 # 0 2 21 73 41 26 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 96 0 # | 0.6 0.4 
0 2 21 73 41 26 0 # 0 72 75 22 56 74 58 0 # 0 92 42 15 87 57 97 13 0 # 0 62 11 90 10 0 # 0 59 5 83 61 85 37 0 # 0 31 30 20 32 70 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 95 98 16 86 17 93 0 # 0 36 47 19 8 46 60 89 0 # 0 52 88 7 0 # 0 6 0 # 0 39 23 67 55 4 25 0 # 0 63 64 49 48 0 # 0 40 53 0 # 0 28 12 76 79 3 54 24 80 0 # 0 14 44 38 43 91 100 0 # 0 45 82 18 84 96 0 # 0 33 29 78 34 35 77 0 # 0 99 94 0 # | 0.6 0.4 
0 95 98 16 86 37 0 # 0 59 5 83 61 85 96 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 72 75 22 56 74 58 0 # 0 2 21 73 41 26 0 # 0 36 47 19 8 46 17 93 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 92 42 15 87 57 97 13 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 60 89 0 # 0 14 44 38 43 91 100 0 # | 0.6 0.4 
0 95 98 16 86 17 93 0 # 0 36 47 19 8 46 60 89 0 # 0 59 5 83 61 85 37 91 100 0 # 0 14 44 38 43 13 0 # 0 92 42 15 87 57 97 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 72 75 22 26 0 # 0 2 21 73 41 56 74 58 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 96 0 # | 0.6 0.4 
0 59 5 83 61 85 37 0 # 0 92 42 15 87 57 97 13 0 # 0 14 44 38 43 91 100 0 # 0 95 98 16 86 17 93 0 # 0 36 47 19 8 46 60 89 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 72 75 22 26 0 # 0 2 21 73 41 56 74 58 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 96 0 # | 0.6 0.4 
0 72 75 22 26 0 # 0 2 21 73 41 56 74 58 0 # 0 95 98 16 86 37 0 # 0 59 5 83 61 85 96 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 36 47 19 8 46 17 93 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 92 42 15 87 57 97 13 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 60 89 0 # 0 14 44 38 43 91 100 0 # | 0.6 0.4 
0 59 5 83 61 85 96 0 # 0 39 23 67 55 4 25 0 # 0 95 98 16 86 37 0 # 0 45 82 18 84 60 89 0 # 0 2 21 73 22 56 74 58 0 # 0 72 75 41 26 0 # 0 33 29 78 34 35 77 0 # 0 65 71 81 50 68 0 # 0 92 42 15 87 57 97 13 0 # 0 62 11 90 10 0 # 0 36 47 19 8 46 17 93 0 # 0 14 44 38 43 91 100 0 # 0 99 94 0 # 0 63 64 49 48 0 # 0 52 88 7 0 # 0 6 0 # 0 31 30 20 32 70 0 # 0 40 53 0 # 0 28 12 76 79 3 54 24 80 0 # 0 27 69 51 9 66 1 0 # | 0.6 0.4 
0 14 44 38 43 91 100 0 # 0 59 5 83 61 85 37 13 0 # 0 95 98 16 86 17 93 0 # 0 36 47 19 8 46 60 89 0 # 0 92 42 15 87 57 97 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 72 75 22 26 0 # 0 2 21 73 41 56 74 58 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 96 0 # | 0.6 0.4 
0 95 98 16 86 37 13 0 # 0 92 42 15 87 57 97 0 # 0 72 75 22 26 0 # 0 2 21 73 41 56 74 58 0 # 0 59 5 83 61 85 96 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 36 47 19 8 46 17 93 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 60 89 0 # 0 14 44 38 43 91 100 0 # | 0.6 0.4 
0 72 75 41 26 0 # 0 2 21 73 22 56 74 58 0 # 0 92 42 15 87 57 97 0 # 0 95 98 16 86 37 13 0 # 0 45 82 18 84 60 89 0 # 0 39 23 67 55 4 25 0 # 0 33 29 78 34 35 77 0 # 0 65 71 81 50 68 0 # 0 62 11 90 10 0 # 0 36 47 19 8 46 17 93 0 # 0 14 44 38 43 91 100 0 # 0 99 94 0 # 0 63 64 49 48 0 # 0 52 88 7 0 # 0 6 0 # 0 59 5 83 61 85 96 0 # 0 31 30 20 32 70 0 # 0 40 53 0 # 0 28 12 76 79 3 54 24 80 0 # 0 27 69 51 9 66 1 0 # | 0.6 0.4 
0 95 98 16 86 96 0 # 0 59 5 83 61 85 37 13 0 # 0 92 42 15 87 57 97 0 # 0 72 75 22 26 0 # 0 2 21 73 41 56 74 58 0 # 0 65 71 81 50 68 0 # 0 27 69 51 9 66 1 0 # 0 31 30 20 32 70 0 # 0 36 47 19 8 46 17 93 0 # 0 28 12 76 79 3 54 24 80 0 # 0 6 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 62 11 90 10 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 40 53 0 # 0 99 94 0 # 0 45 82 18 84 60 89 0 # 0 14 44 38 43 91 100 0 # | 0.6 0.4 
0 6 0 # 0 28 12 76 79 3 54 24 80 0 # 0 14 44 38 43 91 100 0 # 0 40 53 0 # 0 65 71 81 50 68 0 # 0 45 82 18 84 60 89 0 # 0 36 47 19 8 46 17 93 0 # 0 72 75 41 26 0 # 0 27 69 51 9 66 1 0 # 0 99 94 0 # 0 59 5 83 61 85 37 13 0 # 0 62 11 90 10 0 # 0 63 64 49 48 0 # 0 39 23 67 55 4 25 0 # 0 95 98 16 86 96 0 # 0 92 42 15 87 57 97 0 # 0 2 21 73 22 56 74 58 0 # 0 31 30 20 32 70 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # | 0.6 0.4 
0 62 11 90 10 0 # 0 63 64 49 48 0 # 0 2 21 73 41 56 74 58 0 # 0 72 75 22 26 0 # 0 14 44 38 43 91 100 0 # 0 59 5 83 61 85 37 13 0 # 0 36 47 19 8 46 60 89 0 # 0 39 23 67 55 4 25 0 # 0 92 42 15 87 57 97 0 # 0 27 69 81 50 68 0 # 0 45 82 18 84 96 0 # 0 95 98 16 86 17 93 0 # 0 28 12 76 79 3 54 24 80 0 # 0 31 30 51 20 32 70 0 # 0 6 0 # 0 40 53 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 99 94 0 # 0 65 71 9 66 1 0 # | 0.6 0.4 
0 2 21 73 22 56 74 58 0 # 0 72 75 41 26 0 # 0 63 64 49 48 0 # 0 62 11 90 10 0 # 0 14 44 38 43 91 100 0 # 0 59 5 83 61 85 37 13 0 # 0 36 47 19 8 46 60 89 0 # 0 39 23 67 55 4 25 0 # 0 92 42 15 87 57 97 0 # 0 27 69 81 50 68 0 # 0 45 82 18 84 96 0 # 0 95 98 16 86 17 93 0 # 0 28 12 76 79 3 54 24 80 0 # 0 31 30 51 20 32 70 0 # 0 6 0 # 0 40 53 0 # 0 33 29 78 34 35 77 0 # 0 52 88 7 0 # 0 99 94 0 # 0 65 71 9 66 1 0 # | 0.6 0.4 
