0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 3 68 80 77 28 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 20 70 0 # 0 33 81 65 34 29 24 39 67 23 41 22 75 56 74 72 4 55 25 54 58 0 # 0 53 0 # 0 27 69 1 50 76 12 26 40 21 73 2 87 97 95 94 6 13 96 59 37 100 98 93 61 17 60 89 0 # | 1.0 0.0 
0 27 69 1 76 50 30 20 51 9 78 79 3 28 0 # 0 33 81 65 34 29 24 39 67 23 72 73 21 40 2 87 57 41 22 75 56 74 4 55 25 54 80 77 70 0 # 0 89 83 45 46 36 64 11 62 7 88 31 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 68 12 26 13 95 59 93 17 61 85 100 37 97 58 0 # 0 94 92 42 15 43 14 44 38 86 16 91 98 99 96 6 53 0 # | 0.8 0.19999999999999996 
0 27 69 1 76 50 30 20 51 9 78 79 3 28 0 # 0 33 81 65 34 29 24 39 67 23 72 73 21 40 53 0 # 0 60 83 45 46 36 64 11 62 7 88 31 52 18 89 6 87 2 41 22 75 56 74 4 55 25 54 80 77 70 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 68 12 26 13 94 96 93 17 61 100 37 97 58 0 # | 0.8 0.19999999999999996 
0 27 69 1 76 50 30 20 51 9 78 79 3 28 0 # 0 33 81 65 34 29 24 39 67 23 75 72 73 21 40 53 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 68 12 26 13 94 96 93 17 61 100 37 97 95 58 0 # 0 60 83 45 46 36 64 11 62 7 88 31 52 18 89 6 87 2 41 22 56 74 4 55 25 54 80 77 70 0 # | 0.8 0.19999999999999996 
0 27 33 51 65 71 20 30 69 1 50 76 81 9 78 79 3 12 28 0 # 0 26 39 67 23 72 73 21 40 53 0 # 0 89 83 45 46 36 64 11 62 88 7 82 18 60 99 96 94 6 5 84 8 48 47 49 19 10 63 90 32 66 35 34 29 68 24 25 54 80 77 70 31 52 0 # 0 92 42 15 43 14 44 38 86 16 91 85 98 37 97 87 57 41 22 75 56 55 4 74 2 13 95 59 17 61 93 100 58 0 # | 0.8 0.19999999999999996 
0 28 26 21 72 39 67 23 41 22 40 53 0 # 0 89 83 45 46 36 64 11 62 7 88 31 52 18 60 96 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 68 12 54 4 25 80 77 70 0 # 0 27 33 65 20 30 69 1 50 76 3 79 81 51 9 78 29 24 55 56 75 74 73 2 13 17 61 100 93 59 95 58 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 98 37 97 87 94 6 0 # | 0.7 0.30000000000000004 
0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 89 83 45 46 36 64 11 62 88 7 18 60 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 31 52 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 94 6 0 # 0 26 21 72 39 67 23 41 22 40 53 0 # 0 28 12 68 55 56 75 74 73 2 13 96 5 17 61 93 98 100 37 58 0 # | 0.8 0.19999999999999996 
0 26 21 72 39 67 23 41 22 40 53 0 # 0 92 42 57 15 43 14 44 38 86 16 91 98 99 59 97 87 94 6 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 28 12 68 55 56 75 74 73 2 13 95 37 100 85 61 17 93 96 58 0 # 0 89 83 45 46 36 64 11 62 88 7 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 31 52 0 # | 0.8 0.19999999999999996 
0 89 83 45 46 36 64 11 62 88 7 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 54 4 25 24 80 77 70 31 52 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 28 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 94 6 0 # 0 26 12 55 56 75 74 73 2 13 37 98 100 61 17 93 96 58 0 # 0 21 72 39 67 23 41 22 40 53 0 # | 0.8 0.19999999999999996 
0 28 12 68 55 56 74 73 2 13 96 17 61 93 98 100 37 58 0 # 0 26 21 72 39 67 23 75 41 22 40 53 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 94 6 0 # 0 89 83 45 46 36 64 11 62 88 7 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 31 52 0 # | 0.8 0.19999999999999996 
0 26 21 72 39 67 23 41 22 40 53 0 # 0 28 12 68 55 56 75 74 73 2 13 95 37 100 85 61 17 93 96 58 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 89 83 45 46 36 64 11 62 88 7 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 31 0 # 0 92 42 57 15 43 14 44 38 86 16 91 98 99 59 97 87 94 6 0 # | 0.8 0.19999999999999996 
0 21 72 39 67 23 75 41 22 40 53 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 28 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 94 6 0 # 0 26 54 55 56 74 73 2 13 96 17 61 93 98 100 37 95 58 0 # 0 89 83 45 46 36 64 11 62 88 7 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 12 4 25 24 80 77 70 31 52 0 # | 0.8 0.19999999999999996 
0 26 21 72 39 67 23 75 41 22 40 53 0 # 0 28 12 68 55 56 74 73 2 13 96 17 61 93 98 100 37 58 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 89 83 45 46 36 64 11 62 88 7 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 31 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 94 6 0 # | 0.8 0.19999999999999996 
0 21 72 39 67 23 41 22 40 53 0 # 0 89 83 45 46 36 64 11 62 31 88 7 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 0 # 0 26 12 68 55 56 75 74 73 2 13 95 37 100 85 61 17 93 96 58 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 28 0 # 0 92 42 57 15 43 14 44 38 86 16 91 98 99 59 97 87 94 6 0 # | 0.7 0.30000000000000004 
0 21 72 39 67 23 41 22 40 53 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 98 99 59 97 87 6 0 # 0 26 54 55 56 75 74 73 2 13 94 96 93 17 61 85 100 37 58 0 # 0 27 33 81 65 20 30 69 1 76 50 51 9 78 79 3 28 0 # 0 89 83 45 46 36 64 11 62 7 88 31 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 12 4 25 24 80 77 70 0 # | 0.7 0.30000000000000004 
0 28 26 39 67 23 72 21 40 41 22 87 6 53 0 # 0 94 92 97 42 57 15 43 14 44 38 86 16 91 85 59 96 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 68 12 54 4 25 80 77 70 0 # 0 27 50 33 65 20 30 69 0 # 0 89 52 18 60 83 45 46 36 64 11 62 7 88 31 1 76 3 79 81 51 9 78 29 24 55 56 75 74 73 2 13 95 17 61 93 98 100 37 58 0 # | 0.7 0.30000000000000004 
0 52 18 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 3 0 # 0 27 69 1 50 76 12 26 40 2 87 95 94 6 0 # 0 13 97 37 100 98 93 61 17 60 89 58 0 # 0 33 81 65 34 29 24 39 67 23 75 41 22 73 53 0 # 0 21 72 56 74 4 55 25 54 80 77 70 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 59 96 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 68 28 0 # | 0.6 0.4 
0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 89 83 45 46 36 64 11 62 88 7 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 31 0 # 0 28 12 68 55 56 74 73 2 13 96 17 61 93 98 100 37 58 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 94 6 0 # 0 26 39 67 23 75 72 21 41 22 40 53 0 # | 0.8 0.19999999999999996 
0 21 72 39 67 23 75 41 22 40 53 0 # 0 26 55 56 74 73 2 13 95 100 61 17 93 58 0 # 0 94 92 42 57 15 43 14 44 38 86 16 91 85 98 37 97 87 6 0 # 0 89 83 45 46 36 64 11 62 88 7 52 18 60 96 59 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 54 4 25 24 80 77 70 31 0 # 0 27 33 81 65 20 30 69 1 76 50 51 9 78 79 3 12 28 0 # | 0.6 0.4 
0 26 39 67 23 72 21 73 41 22 40 53 0 # 0 28 12 68 55 56 75 74 2 13 95 37 100 85 61 17 93 96 58 0 # 0 92 42 57 15 43 14 44 38 86 16 91 98 99 59 97 87 94 6 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 89 83 45 46 36 64 11 62 7 88 31 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 0 # | 0.7 0.30000000000000004 
0 26 39 67 23 72 21 73 41 22 40 53 0 # 0 92 42 57 15 43 14 44 38 86 16 91 98 99 59 97 87 94 6 0 # 0 27 33 81 65 20 30 69 1 50 76 3 79 78 9 51 0 # 0 89 83 45 46 36 64 11 62 31 88 7 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 70 0 # 0 28 12 68 55 56 75 74 2 13 95 37 100 85 61 17 93 96 58 0 # | 0.7 0.30000000000000004 
0 92 42 57 15 43 14 44 38 86 16 91 98 99 59 97 87 94 6 0 # 0 26 39 67 23 72 21 73 41 22 40 53 0 # 0 27 33 81 65 71 20 30 69 1 50 76 3 79 78 9 51 0 # 0 28 12 68 55 56 75 74 2 13 95 37 100 85 61 17 93 96 58 0 # 0 89 83 45 46 36 64 11 62 7 88 31 52 18 60 5 84 8 82 48 47 49 19 10 63 90 32 66 35 34 29 24 54 4 25 80 77 70 0 # | 0.7 0.30000000000000004 
0 27 33 81 65 20 30 69 0 # 0 26 21 73 72 39 67 23 41 22 40 53 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 6 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 76 3 79 78 9 51 1 0 # 0 28 12 68 55 56 75 74 2 13 95 37 100 98 93 61 17 5 96 94 58 0 # 0 89 60 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 50 70 0 # | 0.6 0.4 
0 33 81 65 20 69 27 0 # 0 28 76 12 26 40 53 0 # 0 55 56 75 74 73 2 13 97 37 100 61 17 93 96 94 58 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 68 54 4 25 24 80 77 50 1 70 0 # 0 21 72 39 67 23 41 22 87 95 6 89 0 # 0 52 18 60 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 3 0 # | 0.6 0.4 
0 26 21 73 72 39 67 23 75 41 22 87 94 6 89 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 35 34 29 24 54 4 25 80 77 50 70 0 # 0 12 68 55 56 74 2 13 96 60 17 61 93 100 37 97 58 0 # 0 27 33 81 65 71 20 30 69 0 # 0 53 40 0 # 0 52 18 83 45 46 36 64 11 62 88 31 1 76 3 79 78 9 51 28 0 # | 0.5 0.5 
0 27 69 76 28 0 # 0 56 75 74 72 4 55 25 54 80 77 50 1 70 0 # 0 33 81 65 34 29 24 39 23 67 73 21 40 2 41 22 87 95 6 89 0 # 0 52 18 60 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 3 53 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 68 12 26 13 94 96 93 17 61 100 37 97 58 0 # | 0.6 0.4 
0 92 42 57 15 43 14 44 38 86 16 91 85 99 59 97 87 6 0 # 0 28 12 68 55 56 75 74 2 13 95 37 100 98 93 61 17 5 96 94 58 0 # 0 26 39 67 23 72 21 73 41 22 40 53 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 76 3 79 78 9 51 1 0 # 0 89 60 84 8 82 48 47 49 19 10 63 90 32 66 71 35 34 29 24 54 4 25 80 77 50 70 0 # 0 27 33 81 65 20 30 69 0 # | 0.5 0.5 
0 95 92 42 57 15 43 14 44 38 86 16 91 85 59 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 35 34 29 24 54 4 25 80 77 70 0 # 0 12 68 55 56 74 2 13 96 60 17 61 93 98 100 37 97 58 0 # 0 26 39 67 23 75 72 21 73 41 22 87 94 6 89 0 # 0 27 33 81 65 71 20 30 69 0 # 0 53 40 0 # 0 52 18 83 45 46 36 64 11 62 88 31 1 50 76 3 79 78 9 51 28 0 # | 0.5 0.5 
0 95 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 35 34 29 24 54 4 25 80 77 50 70 0 # 0 26 39 67 23 75 72 21 73 41 22 87 94 6 89 0 # 0 12 68 55 56 74 2 13 96 60 17 61 93 100 37 97 58 0 # 0 27 33 81 65 71 20 30 69 0 # 0 53 40 0 # 0 52 18 83 45 46 36 64 11 62 88 31 1 76 3 79 78 9 51 28 0 # | 0.5 0.5 
0 95 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 35 34 29 24 54 4 25 80 77 70 0 # 0 12 68 55 56 74 2 13 96 60 17 61 93 100 37 97 58 0 # 0 26 39 67 23 75 72 21 73 41 22 87 94 6 89 0 # 0 27 33 81 65 71 20 30 69 0 # 0 53 40 0 # 0 52 18 83 45 46 36 64 11 62 88 31 1 50 76 3 79 78 9 51 28 0 # | 0.5 0.5 
0 27 69 76 28 0 # 0 26 55 56 75 74 2 13 60 17 61 93 98 100 37 97 58 0 # 0 33 81 65 34 29 24 39 23 67 72 21 40 73 41 22 87 94 6 89 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 12 53 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 59 96 99 5 84 8 82 48 47 49 19 10 63 90 32 20 66 71 35 3 68 54 4 25 80 77 50 1 70 0 # | 0.4 0.6 
0 27 69 76 28 0 # 0 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 10 63 90 32 20 66 71 35 3 68 12 4 25 54 80 77 1 70 0 # 0 52 18 60 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 53 0 # 0 26 55 56 75 74 2 13 97 37 100 61 17 93 96 94 58 0 # 0 50 33 81 65 34 29 24 39 23 67 72 21 40 73 41 22 87 95 6 89 0 # | 0.4 0.6 
0 52 18 83 45 46 36 64 11 62 88 31 1 76 3 79 78 9 51 28 0 # 0 95 92 42 2 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 35 34 29 24 54 4 25 80 77 50 70 0 # 0 26 39 67 23 75 72 21 73 41 22 87 94 6 89 0 # 0 12 68 55 56 74 13 96 60 17 61 93 100 37 97 58 0 # 0 27 33 81 65 71 20 30 69 0 # 0 53 40 0 # | 0.5 0.5 
0 95 92 42 2 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 35 34 29 24 54 4 25 80 77 70 0 # 0 26 39 67 23 75 72 21 73 41 22 87 94 6 89 0 # 0 12 68 55 56 74 13 96 60 17 61 93 100 37 97 58 0 # 0 27 33 81 65 71 20 30 69 0 # 0 53 40 0 # 0 52 18 83 45 46 36 64 11 62 88 31 1 50 76 3 79 78 9 51 28 0 # | 0.5 0.5 
0 27 69 76 28 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 53 0 # 0 55 56 75 74 2 13 96 5 17 61 93 100 37 97 58 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 60 84 8 82 48 47 49 19 10 63 90 32 66 71 35 3 68 12 26 4 25 54 80 77 50 1 70 0 # 0 33 81 65 34 29 24 39 23 67 72 21 40 73 41 22 87 94 6 89 0 # | 0.4 0.6 
0 27 69 76 28 0 # 0 55 56 75 74 2 13 96 5 17 61 93 100 37 97 58 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 53 0 # 0 95 92 42 57 15 43 14 44 38 86 16 91 85 98 59 99 60 84 8 82 48 47 49 19 10 63 90 32 66 71 35 3 68 12 26 4 25 54 80 77 50 1 70 0 # 0 33 81 65 34 29 24 39 23 67 72 73 21 40 41 22 87 94 6 89 0 # | 0.4 0.6 
0 27 69 76 28 0 # 0 52 18 60 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 12 53 0 # 0 33 81 65 34 29 24 39 23 67 75 72 21 40 41 22 87 6 89 0 # 0 92 42 43 15 57 97 37 98 91 44 14 38 86 16 85 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 3 68 54 4 25 80 77 50 1 70 0 # 0 26 55 56 74 73 2 13 95 59 100 61 17 93 96 94 58 0 # | 0.4 0.6 
0 27 69 76 28 0 # 0 26 55 56 74 73 2 13 95 100 61 17 93 59 96 94 58 0 # 0 33 65 34 29 24 39 23 67 75 72 21 40 41 22 87 6 89 0 # 0 92 42 43 15 57 97 37 98 91 44 14 38 86 16 85 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 81 3 68 54 4 25 80 77 50 1 70 0 # 0 52 18 60 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 12 53 0 # | 0.4 0.6 
0 27 69 76 28 0 # 0 33 65 34 29 24 39 23 67 75 72 21 40 41 22 87 6 89 0 # 0 26 55 56 74 73 2 13 95 59 100 61 17 93 96 94 58 0 # 0 52 18 60 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 12 53 0 # 0 92 42 43 15 57 97 37 98 91 44 14 38 86 16 85 99 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 81 3 68 54 4 25 80 77 50 1 70 0 # | 0.4 0.6 
0 27 69 76 28 0 # 0 26 55 56 74 2 13 97 37 100 61 17 93 95 58 0 # 0 52 18 60 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 12 53 0 # 0 92 42 57 15 43 14 16 86 38 44 91 85 98 59 96 99 5 84 8 82 48 47 49 19 10 63 90 32 20 66 71 35 3 68 54 4 25 80 77 1 70 0 # 0 50 33 81 65 34 29 24 39 75 23 67 72 21 40 73 41 22 87 94 6 89 0 # | 0.3 0.7 
0 33 81 71 65 20 69 27 0 # 0 89 96 92 42 2 57 15 43 14 44 38 86 16 91 85 98 59 99 5 84 8 82 48 47 49 19 7 10 63 90 32 66 35 34 29 24 54 4 25 80 77 70 0 # 0 52 18 60 83 45 46 36 64 11 62 88 31 30 50 76 3 79 78 9 51 1 0 # 0 28 12 68 55 56 75 74 13 95 97 37 100 61 17 93 94 58 0 # 0 26 39 23 67 72 21 40 73 41 22 87 6 53 0 # | 0.4 0.6 
0 33 81 65 34 29 24 39 23 67 72 73 21 40 41 22 87 94 6 89 0 # 0 55 56 75 74 2 13 96 17 61 93 100 37 97 58 0 # 0 27 69 76 28 0 # 0 95 92 42 57 15 43 14 91 44 38 86 16 85 98 59 99 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 3 68 12 26 4 25 54 80 77 50 1 70 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 53 0 # | 0.4 0.6 
0 26 55 56 74 2 13 97 37 98 100 61 17 93 95 58 0 # 0 92 42 57 15 43 14 16 86 38 44 91 85 59 99 96 60 5 84 8 82 48 47 49 19 10 63 90 32 20 66 71 35 3 68 12 4 25 54 80 77 1 70 0 # 0 27 69 76 28 0 # 0 50 33 81 65 34 29 24 39 75 23 67 72 21 40 73 41 22 87 94 6 89 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 53 0 # | 0.3 0.7 
0 27 69 76 28 0 # 0 26 55 56 74 2 13 97 37 98 100 61 17 93 95 58 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 53 0 # 0 50 33 81 65 34 29 24 39 75 23 67 72 73 21 40 41 22 87 94 6 89 0 # 0 92 42 57 15 43 14 16 86 38 44 91 85 59 99 96 60 5 84 8 82 48 47 49 19 10 63 90 32 20 66 71 35 3 68 12 4 25 54 80 77 1 70 0 # | 0.3 0.7 
0 27 69 76 28 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 51 9 78 79 3 53 0 # 0 95 92 42 57 15 43 14 91 44 38 86 16 61 85 59 96 99 5 84 8 82 48 47 49 19 10 63 90 32 20 66 71 35 68 12 54 4 25 80 77 50 1 70 0 # 0 26 55 56 74 2 13 97 37 98 100 93 17 60 89 58 0 # 0 33 81 65 34 29 24 39 75 23 67 72 73 21 40 41 22 87 94 6 0 # | 0.3 0.7 
0 27 69 76 28 0 # 0 26 55 56 74 2 13 96 17 61 93 100 37 97 58 0 # 0 33 81 65 34 29 24 39 75 23 67 72 21 40 73 41 22 87 94 6 89 0 # 0 95 92 42 57 15 43 14 91 44 38 86 16 85 98 59 99 60 5 84 8 82 48 47 49 19 10 63 90 32 66 71 35 3 68 12 54 4 25 80 77 50 1 70 0 # 0 52 18 83 45 46 36 64 11 62 7 88 31 30 20 51 9 78 79 53 0 # | 0.2 0.8 
