0 53 40 0 # 0 83 45 47 36 63 64 11 19 62 88 7 18 6 87 57 43 97 37 98 100 85 93 59 96 0 # 0 27 69 1 30 90 10 20 66 35 32 70 31 52 0 # 0 94 95 92 42 15 14 38 44 16 61 86 91 99 5 84 8 82 48 49 46 17 60 89 0 # 0 26 21 39 67 23 72 73 41 22 75 56 74 2 13 58 0 # 0 28 33 65 71 29 3 76 50 51 9 81 79 78 34 68 54 4 55 25 24 80 77 12 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 82 7 10 20 32 66 35 34 24 25 80 77 50 1 70 0 # 0 27 69 52 61 16 44 38 86 99 87 57 41 22 75 56 55 54 68 12 26 4 74 2 13 58 0 # 0 96 59 92 37 98 85 91 14 42 15 39 67 23 72 73 21 40 53 0 # 0 83 45 48 47 36 63 64 11 19 62 30 31 88 18 8 84 5 6 94 95 97 43 100 93 17 60 89 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 29 76 3 79 78 81 9 51 90 10 20 32 66 35 34 24 25 80 77 50 1 70 0 # 0 94 95 92 37 98 91 14 42 15 39 67 23 72 73 21 40 53 0 # 0 45 47 36 63 64 11 19 62 30 31 88 7 18 6 87 57 41 22 75 56 55 54 68 12 26 4 74 2 13 58 0 # 0 27 69 52 61 16 44 38 86 85 99 5 84 8 82 48 49 46 83 96 59 97 43 100 93 17 60 89 0 # | 0.8 0.19999999999999996 
0 28 33 65 71 29 76 3 79 78 81 9 51 90 10 20 32 66 35 34 24 25 80 77 50 1 70 0 # 0 94 92 37 98 91 14 42 15 39 67 23 72 73 21 40 53 0 # 0 45 47 36 63 64 11 19 62 30 31 88 7 18 6 87 57 41 22 75 56 55 54 68 12 26 4 74 2 13 58 0 # 0 27 69 52 61 16 44 38 86 85 99 5 84 8 82 48 49 46 83 96 59 95 97 43 100 93 17 60 89 0 # | 0.8 0.19999999999999996 
0 83 45 47 36 63 64 11 19 62 30 31 88 18 82 8 84 5 96 6 94 57 43 97 13 95 59 37 100 93 17 60 89 0 # 0 27 69 52 61 16 44 38 86 99 87 2 41 22 56 74 55 54 68 4 25 24 80 77 12 26 58 0 # 0 92 98 85 91 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 70 1 0 # | 0.8 0.19999999999999996 
0 83 45 47 36 63 64 11 19 62 30 31 88 18 82 8 84 5 96 6 94 57 43 97 13 95 59 98 85 91 100 93 17 60 89 0 # 0 27 69 52 61 16 44 38 86 99 87 2 41 22 75 56 74 55 54 68 4 25 24 80 77 12 26 58 0 # 0 92 37 14 42 15 39 67 23 72 73 21 40 53 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 70 1 0 # | 0.8 0.19999999999999996 
0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 70 1 0 # 0 92 37 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 27 69 52 61 16 44 38 86 99 87 2 41 22 56 74 55 54 68 4 25 24 80 77 12 26 58 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 18 82 8 84 5 96 6 94 57 43 97 13 95 59 98 85 91 100 93 17 60 89 0 # | 0.8 0.19999999999999996 
0 92 37 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 27 69 5 61 16 44 38 86 84 8 48 49 46 82 7 10 20 32 66 35 34 50 1 70 0 # 0 28 33 65 71 29 76 52 18 99 6 87 2 22 41 57 43 97 95 13 94 60 17 85 91 100 98 93 59 96 89 0 # 0 83 45 47 36 63 64 11 19 62 88 31 30 90 51 81 79 78 9 3 68 54 56 74 55 4 25 24 80 77 12 26 58 0 # | 0.8 0.19999999999999996 
0 83 45 48 47 36 63 64 11 19 62 30 31 88 18 8 84 5 6 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 82 7 10 20 32 66 35 34 24 25 80 77 50 1 70 0 # 0 94 95 97 43 37 98 85 91 100 93 17 60 89 0 # 0 96 59 92 14 42 15 39 67 23 72 73 21 40 53 0 # 0 27 69 52 61 16 44 38 86 99 87 57 41 22 75 56 55 54 68 12 26 4 74 2 13 58 0 # | 0.8 0.19999999999999996 
0 45 48 47 36 63 64 11 19 62 30 31 88 18 8 83 84 5 6 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 82 7 10 20 32 66 35 34 24 25 80 77 50 1 70 0 # 0 27 69 52 61 16 44 38 86 99 87 57 41 22 75 56 55 54 68 12 26 4 74 2 13 58 0 # 0 94 95 97 43 37 98 85 91 100 93 17 60 89 0 # 0 96 59 92 14 42 15 39 67 23 72 73 21 40 53 0 # | 0.8 0.19999999999999996 
0 27 69 61 16 44 38 86 99 87 57 41 22 75 56 55 54 68 12 26 4 74 2 13 58 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 82 7 10 20 32 66 35 34 24 25 80 77 50 1 70 0 # 0 83 45 48 47 36 63 64 11 19 62 30 31 88 52 18 8 84 5 6 0 # 0 96 59 92 14 42 15 39 67 23 72 73 21 40 53 0 # 0 94 95 97 43 37 98 85 91 100 93 17 60 89 0 # | 0.8 0.19999999999999996 
0 95 92 98 91 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 45 48 47 36 63 64 11 19 62 88 52 18 8 83 84 5 6 0 # 0 27 69 96 59 85 61 16 44 38 86 99 87 2 22 41 57 43 97 13 94 89 60 17 93 100 37 58 0 # 0 26 54 56 74 4 55 25 24 80 77 1 70 31 0 # 0 28 33 65 34 29 3 76 50 30 71 78 79 81 9 51 90 49 46 82 7 10 20 32 66 35 68 12 0 # | 0.8 0.19999999999999996 
0 68 54 55 4 74 25 24 80 77 12 26 58 0 # 0 92 42 15 14 91 85 61 16 44 38 86 99 87 57 41 22 75 56 2 43 97 95 13 94 96 59 98 37 100 93 17 60 89 0 # 0 45 47 36 63 64 11 19 62 88 31 52 18 8 83 84 5 6 0 # 0 28 33 65 34 29 3 76 50 30 71 78 79 81 9 51 90 49 46 48 82 7 10 20 66 35 32 70 1 0 # 0 27 69 39 67 23 72 73 21 40 53 0 # | 0.7 0.30000000000000004 
0 83 45 47 36 63 64 11 19 62 30 31 88 18 82 8 84 5 6 0 # 0 27 69 52 96 85 61 16 44 38 86 99 87 57 41 22 75 56 2 43 97 95 13 89 60 17 91 100 98 93 59 94 58 0 # 0 26 12 68 54 55 4 74 25 24 80 77 0 # 0 92 37 14 42 15 39 67 23 72 73 21 40 53 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 70 1 0 # | 0.8 0.19999999999999996 
0 94 95 97 43 37 98 85 91 100 93 17 60 89 58 0 # 0 96 59 92 14 42 15 39 67 23 72 73 21 40 53 0 # 0 45 48 47 36 63 64 11 19 62 30 31 88 18 8 83 84 5 6 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 82 7 10 20 32 66 35 34 24 4 25 80 77 50 1 70 0 # 0 27 69 52 61 16 44 38 86 99 87 57 41 22 75 56 55 54 68 12 26 74 2 13 0 # | 0.7 0.30000000000000004 
0 96 59 92 14 42 15 39 67 23 72 73 21 40 53 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 82 7 10 20 32 66 35 34 24 4 25 80 77 50 1 70 0 # 0 83 45 48 47 36 63 64 11 19 62 30 31 88 52 18 8 84 5 6 0 # 0 94 95 97 43 37 98 85 91 100 93 17 60 89 58 0 # 0 27 69 61 16 44 38 86 99 87 57 41 22 75 56 55 54 68 12 26 74 2 13 0 # | 0.7 0.30000000000000004 
0 92 37 14 42 15 39 67 23 72 73 21 40 53 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 18 82 8 84 5 6 0 # 0 27 69 52 96 85 61 16 44 38 86 99 87 57 41 22 75 56 2 43 97 95 94 13 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 50 1 70 89 60 17 91 100 98 93 59 58 0 # 0 26 12 68 54 55 4 74 25 24 80 77 0 # | 0.7 0.30000000000000004 
0 26 12 68 54 55 4 74 25 24 80 77 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 41 22 75 56 2 43 97 95 94 13 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 50 1 70 89 60 17 91 100 98 93 59 58 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 52 18 82 8 84 5 6 0 # 0 92 37 14 42 15 39 67 23 72 73 21 40 53 0 # | 0.7 0.30000000000000004 
0 26 12 68 54 55 4 74 25 24 80 77 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 50 1 70 89 60 17 91 100 98 93 59 58 0 # 0 27 69 52 96 85 61 16 44 38 86 99 87 57 2 22 41 56 43 97 95 94 13 0 # 0 92 37 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 18 82 8 84 5 6 0 # | 0.6 0.4 
0 26 12 68 54 55 4 74 25 24 80 77 0 # 0 92 37 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 2 22 41 56 43 97 95 94 13 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 52 18 82 8 84 5 6 0 # 0 28 33 65 71 29 76 3 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 50 1 70 89 60 17 91 100 98 93 59 58 0 # | 0.6 0.4 
0 26 12 68 54 55 4 74 25 24 80 77 0 # 0 92 37 14 42 15 39 67 23 72 73 21 40 53 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 1 70 89 60 17 91 100 98 93 59 94 58 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 2 22 41 75 56 43 97 95 13 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 52 18 82 8 84 5 6 0 # | 0.7 0.30000000000000004 
0 83 45 47 36 63 64 11 19 62 30 31 88 18 82 8 84 5 6 0 # 0 27 69 52 96 85 61 16 44 38 86 99 87 57 2 22 41 75 56 43 97 95 94 13 0 # 0 26 12 68 54 55 4 74 25 24 80 77 0 # 0 92 37 14 42 15 39 67 23 72 73 21 40 53 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 1 70 89 60 17 91 100 98 93 59 58 0 # | 0.7 0.30000000000000004 
0 26 12 68 54 55 4 74 25 24 80 77 0 # 0 92 37 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 1 70 89 60 17 91 100 98 93 59 58 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 52 18 82 8 84 5 6 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 2 22 41 56 43 97 95 94 13 0 # | 0.6 0.4 
0 12 68 54 55 4 74 25 24 80 77 0 # 0 92 37 14 42 15 39 67 23 72 73 21 40 26 53 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 52 18 82 8 84 5 6 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 1 70 89 60 17 91 100 98 93 59 58 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 2 22 41 75 56 43 97 95 94 13 0 # | 0.5 0.5 
0 83 45 47 36 63 64 11 19 62 30 31 88 52 18 82 8 84 5 6 0 # 0 92 37 14 42 15 39 67 23 73 21 40 26 53 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 2 22 41 75 56 43 97 95 94 13 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 1 70 89 60 17 91 100 98 93 59 58 0 # 0 12 68 54 55 4 72 74 25 24 80 77 0 # | 0.5 0.5 
0 45 48 47 36 63 64 11 19 62 88 31 52 18 8 83 84 5 6 0 # 0 12 54 55 56 74 13 89 60 17 93 100 37 58 0 # 0 95 92 98 91 14 42 15 39 67 23 75 72 73 21 40 26 53 0 # 0 27 69 96 59 85 61 16 44 38 86 99 87 2 22 41 57 43 97 94 0 # 0 28 33 65 34 29 3 76 50 30 71 78 79 81 9 51 90 49 46 82 7 10 20 32 66 35 68 24 4 25 80 77 1 70 0 # | 0.7 0.30000000000000004 
0 94 95 92 42 15 14 44 91 85 98 37 59 96 99 61 16 38 86 84 5 6 0 # 0 97 43 13 89 60 17 93 100 58 0 # 0 54 56 74 4 55 25 24 80 77 1 70 0 # 0 28 26 39 67 23 75 72 73 21 40 2 87 57 41 22 0 # 0 27 50 33 65 71 29 76 3 34 78 79 81 9 51 90 49 46 82 7 10 20 32 66 35 68 12 0 # 0 83 45 47 36 63 64 11 62 31 69 30 88 19 48 8 18 52 53 0 # | 0.6 0.4 
0 97 43 13 89 60 17 93 100 37 58 0 # 0 45 48 47 36 63 64 11 19 62 88 31 52 18 83 8 84 5 6 0 # 0 26 54 56 74 4 55 25 24 80 77 50 70 0 # 0 27 69 94 96 59 85 61 16 44 38 86 99 87 57 41 22 2 0 # 0 95 92 98 91 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 28 33 65 34 29 3 76 1 30 71 78 79 81 9 51 90 49 46 82 7 10 20 32 66 35 68 12 0 # | 0.6 0.4 
0 92 37 14 42 15 39 23 67 73 21 40 0 # 0 53 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 2 22 41 75 56 43 97 95 94 13 0 # 0 26 12 68 54 24 55 4 72 74 25 80 77 0 # 0 28 33 65 71 29 3 76 50 79 78 81 9 51 90 49 46 48 7 10 20 32 66 35 34 1 70 89 60 17 91 100 98 93 59 58 0 # 0 83 45 47 36 63 64 11 19 62 30 31 88 52 18 82 8 84 5 6 0 # | 0.5 0.5 
0 94 92 37 14 42 15 39 67 23 75 72 73 21 40 53 0 # 0 97 43 13 89 60 17 91 100 98 93 59 95 58 0 # 0 26 54 56 74 4 55 25 24 80 77 70 0 # 0 28 33 65 34 29 71 30 1 50 76 3 79 78 81 9 51 90 49 46 82 7 10 20 32 66 35 68 12 0 # 0 27 69 96 85 61 16 44 38 86 99 87 57 41 22 2 0 # 0 45 48 47 36 63 64 11 19 62 88 31 52 18 8 83 84 5 6 0 # | 0.6 0.4 
