0 28 33 65 71 29 12 76 79 81 51 9 78 34 50 3 68 54 4 55 25 24 80 77 0 # 0 59 98 14 38 44 16 61 86 85 99 94 6 53 26 0 # 0 95 92 42 15 2 73 21 40 87 57 43 37 97 96 13 0 # 0 52 69 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 46 17 91 100 93 60 89 0 # 0 5 83 45 82 47 36 49 48 0 # 0 72 39 67 23 75 22 41 56 74 58 0 # | 1.0 0.0 
0 72 39 67 23 75 73 40 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 50 3 68 26 0 # 0 52 69 30 90 10 20 66 35 32 70 1 0 # 0 95 59 92 14 42 15 21 2 98 61 16 44 38 86 85 99 94 6 53 0 # 0 5 83 45 82 47 36 49 46 48 60 17 91 100 93 89 0 # 0 27 31 63 64 11 19 62 88 7 18 8 84 96 97 37 43 13 58 0 # | 1.0 0.0 
0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 13 58 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 89 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 6 94 96 97 37 43 91 100 93 17 60 89 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 13 58 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 43 37 91 100 93 17 60 89 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 13 58 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 9 51 81 79 78 34 3 50 68 26 54 4 55 25 24 80 77 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 13 58 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 89 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 14 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 54 4 55 25 24 80 77 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 13 58 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 89 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 0 # | 0.9 0.09999999999999998 
0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 13 58 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 89 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 89 13 58 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 9 51 81 79 78 34 3 50 68 26 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 89 13 58 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 55 54 4 25 24 80 77 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 89 13 58 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 84 8 49 46 48 89 13 58 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 6 94 96 97 37 43 91 100 93 17 60 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 14 15 2 21 12 29 76 30 90 10 20 66 35 32 70 1 0 # 0 28 33 65 71 9 51 81 79 78 34 50 3 68 26 0 # 0 72 39 67 23 75 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 27 69 31 52 82 83 98 61 16 44 38 86 85 99 94 6 96 97 37 43 91 100 93 17 60 0 # 0 5 45 47 36 63 64 11 19 62 88 7 18 84 8 49 46 48 89 13 58 0 # | 0.9 0.09999999999999998 
0 5 83 45 36 47 82 52 69 30 90 10 20 66 35 32 70 1 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 50 3 68 26 0 # 0 2 72 39 75 23 67 21 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 96 97 37 43 13 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 58 0 # | 0.9 0.09999999999999998 
0 28 33 65 71 29 12 76 51 9 81 79 78 34 3 50 68 26 0 # 0 5 83 45 36 47 82 52 69 30 90 10 20 66 35 32 70 1 0 # 0 2 72 39 75 23 67 21 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 96 97 37 43 13 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 58 0 # | 0.9 0.09999999999999998 
0 27 31 63 64 11 19 62 88 7 18 6 94 96 97 37 43 13 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 84 8 49 46 48 60 17 91 100 93 89 58 0 # 0 5 83 45 36 47 82 52 69 30 90 10 20 66 35 32 70 1 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 50 3 68 26 0 # 0 2 72 39 75 23 67 21 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # | 0.9 0.09999999999999998 
0 5 83 45 36 47 82 52 69 30 90 10 20 32 66 35 70 1 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 50 3 68 26 0 # 0 2 72 39 75 23 67 21 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 96 97 37 43 13 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 58 0 # | 0.9 0.09999999999999998 
0 5 83 45 36 47 82 52 69 30 90 10 20 66 35 32 70 1 0 # 0 28 33 65 71 29 12 76 9 51 81 79 78 34 50 3 68 26 0 # 0 2 72 39 75 23 67 21 73 40 53 87 57 41 22 56 74 54 55 4 25 24 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 96 97 37 43 13 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 58 0 # | 0.9 0.09999999999999998 
0 26 54 56 74 4 55 25 24 80 77 0 # 0 5 83 45 36 47 82 52 69 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 58 0 # 0 21 73 40 53 0 # 0 95 59 92 42 15 98 14 38 44 16 61 86 85 99 94 6 0 # 0 28 33 65 71 29 12 76 79 81 51 9 78 34 50 3 68 0 # 0 2 72 39 67 23 75 41 22 87 57 43 37 97 96 13 0 # | 0.9 0.09999999999999998 
0 5 45 83 47 36 63 64 11 19 62 88 30 90 10 20 32 66 35 68 1 70 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 84 8 49 46 48 60 17 91 100 93 89 0 # 0 2 72 39 75 23 67 21 40 73 22 41 57 43 37 97 96 13 58 0 # 0 27 69 31 52 82 7 18 99 87 94 6 53 0 # | 1.0 0.0 
0 2 72 39 75 23 67 21 73 40 87 57 22 41 43 37 97 96 13 0 # 0 27 52 31 69 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 58 0 # 0 33 65 63 90 10 20 32 66 35 68 77 1 70 0 # 0 5 83 45 82 47 36 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 15 14 98 61 16 44 38 86 85 84 8 49 46 48 60 17 91 100 93 89 58 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 0 # 0 5 45 83 47 36 63 64 11 19 62 88 30 90 10 20 32 66 35 68 77 1 70 0 # 0 2 72 39 75 23 67 21 40 73 22 41 57 43 37 97 96 13 0 # 0 27 69 31 52 82 7 18 99 87 94 6 53 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 15 98 14 38 44 16 61 86 85 99 94 6 53 0 # 0 26 54 56 74 4 55 25 24 80 77 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 58 0 # 0 5 83 45 36 47 82 52 69 30 90 10 20 66 35 32 70 1 0 # 0 28 33 65 71 29 12 76 79 81 51 9 78 34 50 3 68 0 # 0 2 72 39 75 23 67 21 40 73 41 22 87 57 43 37 97 96 13 0 # | 0.9 0.09999999999999998 
0 26 54 56 74 4 55 25 24 80 77 0 # 0 2 72 39 75 23 67 21 40 73 41 22 87 57 43 37 97 96 13 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 3 50 68 0 # 0 5 83 45 36 47 82 52 69 30 90 10 20 66 35 32 70 1 0 # 0 27 31 63 64 11 19 62 88 7 18 84 8 49 46 48 60 17 91 100 93 89 58 0 # 0 95 59 92 42 15 98 14 38 44 16 61 86 85 99 94 6 53 0 # | 0.9 0.09999999999999998 
0 5 45 83 47 36 63 64 11 19 62 88 30 90 10 20 32 66 35 68 1 70 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 84 8 49 46 48 60 17 91 100 93 89 58 0 # 0 2 72 39 75 23 67 21 40 73 22 41 57 43 37 97 96 13 0 # 0 28 33 65 71 29 12 76 51 9 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 27 69 31 52 82 7 18 99 87 94 6 53 0 # | 0.9 0.09999999999999998 
0 33 65 63 62 31 69 52 27 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 26 54 56 74 4 55 25 24 80 77 58 0 # 0 28 12 29 76 30 71 9 51 81 79 78 34 3 50 20 10 32 66 35 68 1 70 0 # 0 5 83 45 82 47 36 64 11 19 7 88 90 18 84 8 49 46 48 60 17 91 100 93 89 0 # 0 2 72 39 75 23 67 21 40 73 41 22 87 57 43 37 97 96 13 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # 0 2 72 39 75 23 67 21 73 40 53 87 57 41 22 56 26 68 54 74 4 55 25 24 80 77 0 # 0 5 83 45 36 47 82 52 69 30 51 9 81 79 78 34 3 50 20 10 32 66 35 70 1 0 # 0 28 33 65 71 29 12 76 0 # 0 27 31 63 64 11 19 62 7 88 90 18 84 8 49 46 96 97 37 43 13 89 60 48 17 91 100 93 58 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 2 72 39 75 23 67 21 40 73 41 22 87 57 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 77 1 70 0 # | 0.8 0.19999999999999996 
0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 0 # 0 2 72 39 75 23 67 21 73 40 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 77 1 70 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # | 0.8 0.19999999999999996 
0 33 65 63 62 31 69 27 52 98 61 16 44 38 86 85 99 94 6 53 0 # 0 5 83 45 82 47 36 64 11 19 7 88 90 18 84 8 49 46 10 20 32 66 35 68 77 1 70 0 # 0 28 72 39 67 23 75 73 40 87 57 22 41 43 37 97 96 13 60 48 17 91 100 93 89 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 58 0 # | 0.8 0.19999999999999996 
0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 1 70 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 2 72 39 75 23 67 21 40 73 41 22 87 57 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # | 0.8 0.19999999999999996 
0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 1 70 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 2 72 39 75 23 67 21 73 40 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # | 0.8 0.19999999999999996 
0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 2 72 39 75 23 67 21 73 40 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 5 83 45 82 47 36 64 11 19 62 88 7 90 18 84 8 49 46 10 20 32 66 35 68 1 70 0 # | 0.8 0.19999999999999996 
0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 1 70 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 2 72 39 75 23 67 21 73 40 53 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.9 0.09999999999999998 
0 5 83 45 82 47 36 64 11 19 7 88 90 18 84 8 49 46 10 20 32 66 35 68 1 70 0 # 0 28 72 39 67 23 75 73 40 53 87 57 22 41 43 37 97 96 13 60 48 17 91 100 93 89 0 # 0 33 65 63 62 31 69 27 52 98 61 16 44 38 86 85 99 94 6 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 58 0 # | 0.8 0.19999999999999996 
0 95 59 92 42 2 15 14 98 61 16 44 38 86 85 99 94 6 53 0 # 0 72 39 75 23 67 21 73 40 87 57 22 41 43 37 97 96 13 60 17 91 100 93 58 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 1 70 48 89 0 # | 0.8 0.19999999999999996 
0 53 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # 0 2 72 39 75 23 67 21 73 40 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 1 70 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.8 0.19999999999999996 
0 5 83 45 36 47 82 52 98 61 16 44 38 86 85 99 94 6 0 # 0 27 28 72 39 67 23 75 73 40 53 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 33 65 63 64 11 62 31 69 88 7 19 90 18 84 8 49 46 10 20 66 35 32 70 1 0 # 0 95 59 92 14 42 15 2 21 12 29 76 30 71 9 51 81 79 78 34 3 50 26 55 56 74 4 54 68 24 25 80 77 0 # | 0.8 0.19999999999999996 
0 53 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 2 72 39 75 23 67 21 73 40 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 66 35 32 70 1 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 55 56 74 4 54 68 24 25 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.8 0.19999999999999996 
0 53 87 57 22 41 43 97 37 96 13 89 60 48 17 91 100 93 58 0 # 0 2 72 39 75 23 67 21 73 40 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 66 35 32 70 1 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 55 56 74 4 54 68 24 25 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.8 0.19999999999999996 
0 5 83 45 82 47 36 64 11 19 62 88 7 90 18 84 8 49 46 10 20 66 35 32 70 1 0 # 0 53 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 2 72 39 75 23 67 21 73 40 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 55 56 74 4 54 68 24 25 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.8 0.19999999999999996 
0 5 83 45 82 47 36 64 11 62 88 7 19 90 18 84 8 49 46 10 20 66 35 32 70 1 0 # 0 53 87 57 22 41 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 2 72 39 75 23 67 21 73 40 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 55 56 74 4 54 68 24 25 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.8 0.19999999999999996 
0 53 87 22 41 57 43 37 97 96 13 89 60 48 17 91 100 93 58 0 # 0 2 72 39 75 23 67 21 73 40 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 66 35 32 70 1 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 55 56 74 4 54 68 24 25 80 77 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.8 0.19999999999999996 
0 95 59 92 42 2 15 14 98 61 16 44 38 86 85 99 94 6 0 # 0 72 39 75 23 67 21 73 40 0 # 0 53 87 57 22 41 43 37 97 96 13 60 17 91 100 93 58 0 # 0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 10 20 32 66 35 68 1 70 48 89 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 26 54 56 74 4 55 25 24 80 77 0 # | 0.8 0.19999999999999996 
0 5 83 45 82 47 36 64 11 19 62 7 88 90 18 84 8 49 46 96 97 37 43 13 89 60 48 17 91 100 93 58 0 # 0 2 72 39 75 23 67 21 40 73 41 22 87 57 53 0 # 0 26 54 56 74 4 55 25 24 80 0 # 0 33 65 63 31 69 52 27 28 12 29 76 30 71 9 51 81 79 78 34 3 50 20 10 32 66 35 68 77 1 70 0 # 0 95 59 92 42 15 14 98 61 16 44 38 86 85 99 94 6 0 # | 0.8 0.19999999999999996 
