0 27 69 1 50 76 33 81 65 34 78 79 51 30 20 9 35 71 66 32 90 10 70 31 52 0 # 0 89 18 45 46 36 47 48 7 88 62 11 63 64 49 19 82 8 83 60 5 84 17 61 91 100 37 98 93 59 13 58 0 # 0 26 54 39 67 23 41 22 74 75 56 4 55 25 24 29 3 77 68 80 12 28 0 # 0 94 92 42 15 43 14 44 38 86 16 85 99 96 6 95 97 87 57 2 73 72 21 40 53 0 # | 0.9 0.09999999999999998 
0 27 69 1 33 81 65 71 9 51 20 30 50 76 12 24 29 3 79 78 34 35 66 32 90 10 70 31 0 # 0 52 18 45 46 36 47 7 88 62 11 63 64 49 19 48 82 8 83 60 5 84 17 61 91 100 98 93 59 13 58 0 # 0 26 39 67 23 41 22 40 53 0 # 0 89 92 37 42 15 43 14 38 86 44 16 85 99 96 6 94 95 97 87 57 2 21 73 72 74 75 56 4 55 25 54 80 68 77 28 0 # | 0.8 0.19999999999999996 
0 26 39 67 23 41 22 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 91 98 37 59 99 96 6 94 95 97 87 57 2 73 72 74 75 56 4 54 55 25 24 29 77 68 80 12 28 0 # 0 27 69 1 33 81 65 34 78 79 3 76 50 30 32 90 63 10 51 9 35 71 66 20 70 31 52 0 # 0 89 18 45 46 36 47 7 88 62 11 64 49 19 48 82 8 83 60 5 84 17 61 85 100 93 13 58 0 # | 0.8 0.19999999999999996 
0 52 18 83 45 46 36 47 88 62 11 64 49 19 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 53 40 21 73 41 22 74 75 56 4 25 55 54 12 26 0 # | 1.0 0.0 
0 27 69 30 51 33 65 9 81 78 79 3 76 28 53 40 21 73 41 22 74 75 56 4 25 55 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # | 1.0 0.0 
0 27 69 30 51 33 81 65 9 78 79 3 76 12 28 53 40 21 73 41 22 74 75 56 4 25 55 54 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # | 1.0 0.0 
0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 85 59 99 96 6 89 60 5 84 17 61 93 98 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # 0 53 40 21 73 41 22 74 75 56 4 25 55 54 12 26 0 # | 0.7 0.30000000000000004 
0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # 0 53 40 21 73 41 22 74 75 56 4 25 55 54 12 26 0 # | 0.7 0.30000000000000004 
0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 31 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 53 40 21 73 41 22 74 75 56 4 25 55 54 12 26 0 # | 0.7 0.30000000000000004 
0 52 18 83 45 46 36 47 88 62 11 64 49 19 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # 0 53 40 21 73 41 22 74 75 56 4 25 55 54 12 26 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 22 41 74 75 56 4 25 55 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 41 22 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 22 41 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 31 0 # 0 53 40 21 73 22 41 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # | 0.7 0.30000000000000004 
0 52 18 83 45 46 36 47 88 62 11 64 49 19 48 8 82 7 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 53 40 21 73 22 41 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 90 63 32 20 66 71 35 34 29 24 80 68 77 50 1 70 31 0 # 0 53 40 21 73 22 41 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 71 35 34 29 24 80 68 77 50 1 70 0 # 0 53 40 21 73 22 41 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 23 67 39 72 2 57 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 41 22 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 57 72 39 67 23 2 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 22 41 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 57 72 39 67 23 2 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 22 41 74 72 75 56 4 25 55 54 12 26 0 # 0 94 95 92 42 43 15 57 39 67 23 2 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 41 22 74 72 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 57 39 67 23 2 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 94 95 92 42 43 15 57 39 67 23 2 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # 0 53 40 21 73 22 41 74 72 75 56 4 55 25 54 12 26 0 # | 0.7 0.30000000000000004 
0 53 40 21 73 22 41 72 74 75 56 4 55 25 54 12 26 0 # 0 94 95 92 42 43 15 57 39 67 23 2 87 14 44 38 86 16 91 98 59 99 96 6 89 60 5 84 17 61 85 93 100 37 97 13 58 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 28 0 # | 0.7 0.30000000000000004 
0 26 39 67 23 72 21 40 53 0 # 0 27 69 30 51 33 81 65 9 78 79 3 76 12 28 0 # 0 89 96 92 42 15 43 14 44 38 86 84 8 83 60 5 99 6 94 87 57 41 22 75 56 74 73 2 97 37 98 100 91 16 17 61 85 93 59 95 13 58 0 # 0 52 18 45 46 36 47 48 82 7 88 62 11 64 49 19 10 63 90 32 20 66 71 35 34 29 24 55 25 4 54 80 68 77 50 1 70 31 0 # | 0.6 0.4 
0 27 69 30 51 33 81 65 71 9 78 79 3 76 12 28 0 # 0 26 39 67 23 72 73 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 61 84 5 99 96 6 94 97 87 2 57 41 22 74 75 56 4 55 25 54 58 13 95 59 93 98 37 100 91 85 17 60 89 0 # 0 52 18 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 20 66 35 34 29 24 80 68 77 50 1 70 0 # | 0.6 0.4 
0 27 69 30 51 33 81 65 9 78 79 3 76 12 28 0 # 0 26 39 67 23 72 21 40 53 0 # 0 89 92 42 15 43 14 44 38 86 84 8 83 60 5 99 96 6 94 87 57 41 22 75 56 74 73 2 97 37 98 100 91 16 17 61 85 93 59 95 13 58 0 # 0 52 18 45 46 36 47 48 82 7 62 11 64 49 19 88 31 10 63 90 32 20 66 71 35 34 29 24 55 25 4 54 80 68 77 50 1 70 0 # | 0.4 0.6 
0 26 39 67 23 72 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 61 84 5 99 96 6 94 87 57 41 22 75 56 74 73 2 97 37 98 100 91 85 17 93 59 95 13 58 0 # 0 27 69 1 33 81 51 30 20 65 9 78 79 3 76 12 28 0 # 0 89 60 83 45 46 36 47 48 7 88 62 11 64 49 19 82 8 18 52 31 10 63 90 32 66 71 35 34 29 24 55 25 4 54 80 68 77 50 70 0 # | 0.3 0.7 
0 92 42 15 43 14 44 38 86 16 84 5 60 99 96 6 94 87 57 41 22 75 56 74 73 2 97 37 98 100 91 85 61 17 93 59 95 13 58 0 # 0 89 18 83 45 46 36 64 11 62 88 7 82 8 48 47 49 19 10 63 90 32 20 66 35 34 29 24 55 25 4 54 80 68 77 50 1 70 31 52 0 # 0 26 39 67 23 72 21 40 53 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 12 28 0 # | 0.3 0.7 
0 26 39 67 23 72 21 40 53 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 12 28 0 # 0 89 18 60 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 35 34 29 24 55 25 4 54 80 68 77 50 1 70 31 52 0 # 0 92 42 15 43 14 44 38 86 16 61 84 5 99 96 6 94 87 57 41 22 75 56 74 73 2 97 37 98 85 17 91 100 93 59 95 13 58 0 # | 0.2 0.8 
0 27 69 30 51 33 81 65 71 9 78 79 3 76 12 28 0 # 0 26 39 67 23 72 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 61 84 5 99 96 6 94 95 87 57 41 22 75 56 74 73 2 97 37 98 85 100 91 17 93 59 13 58 0 # 0 89 18 60 83 45 46 36 64 11 62 88 7 82 8 48 47 49 19 10 63 90 32 20 66 35 34 29 24 55 25 4 54 80 68 77 50 1 70 31 52 0 # | 0.1 0.9 
0 26 39 67 23 21 40 53 0 # 0 92 42 15 43 14 44 38 86 16 61 84 5 99 96 6 94 87 57 41 22 75 56 72 74 73 2 97 37 98 100 91 85 17 93 59 95 13 58 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 12 28 0 # 0 89 18 60 83 45 46 36 64 11 62 88 7 82 8 48 47 49 19 10 63 90 32 20 66 35 34 29 24 55 25 4 54 80 68 77 50 1 70 31 52 0 # | 0.1 0.9 
0 26 39 67 23 73 21 40 53 0 # 0 89 18 60 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 10 63 90 32 20 66 35 34 29 24 55 25 4 54 80 68 77 50 1 70 31 52 0 # 0 27 69 30 51 33 81 65 71 9 78 79 3 76 12 28 0 # 0 92 42 15 43 14 44 38 86 16 61 84 5 99 96 6 94 87 57 41 22 75 56 72 74 2 97 37 98 85 17 91 100 93 59 95 13 58 0 # | 0.1 0.9 
0 26 39 67 23 73 21 40 53 0 # 0 27 69 1 33 81 65 20 30 51 9 78 79 3 76 12 28 0 # 0 89 92 42 15 43 14 44 38 86 16 61 84 5 99 96 6 94 87 57 41 22 75 56 72 74 2 97 37 98 85 100 91 17 93 59 95 13 58 0 # 0 52 18 60 83 45 46 36 19 88 62 11 64 49 47 48 8 82 7 31 10 63 90 32 66 71 35 34 29 24 55 25 4 54 80 68 77 50 70 0 # | 0.1 0.9 
