0 40 53 0 # 0 36 64 49 19 7 52 0 # 0 1 30 78 34 35 3 77 28 0 # 0 26 39 23 67 55 25 54 0 # 0 62 11 63 90 10 31 0 # 0 51 65 71 9 66 20 32 70 0 # 0 50 33 81 76 79 29 24 68 80 12 0 # 0 27 69 88 8 46 47 48 82 18 0 # 0 92 91 14 44 38 86 17 93 59 0 # 0 42 43 15 57 41 75 56 4 0 # 0 2 22 74 72 73 21 58 0 # 0 89 45 83 60 5 84 61 16 85 98 100 37 0 # 0 96 99 6 0 # 0 94 95 97 87 13 0 # | 0.7 0.30000000000000004 
0 40 53 0 # 0 73 22 75 56 74 72 21 58 0 # 0 52 7 62 11 63 90 10 31 0 # 0 36 64 49 19 47 48 82 89 0 # 0 42 43 15 57 41 2 0 # 0 1 65 71 9 66 20 32 70 0 # 0 6 0 # 0 18 45 83 60 99 84 5 96 13 0 # 0 94 95 97 87 0 # 0 92 98 14 44 38 86 16 61 85 91 100 37 0 # 0 76 79 29 24 68 3 80 12 0 # 0 50 33 51 30 78 34 35 81 77 28 0 # 0 26 39 23 67 55 4 25 54 0 # 0 27 69 88 8 46 17 93 59 0 # | 0.3 0.7 
0 40 53 0 # 0 73 22 75 56 74 72 21 58 0 # 0 42 43 15 57 41 2 0 # 0 87 97 95 94 13 0 # 0 27 69 88 6 0 # 0 76 79 29 24 68 3 80 12 0 # 0 62 11 63 90 10 31 0 # 0 83 45 46 82 8 18 89 0 # 0 36 64 49 19 47 48 7 52 0 # 0 96 99 84 60 5 17 93 59 0 # 0 92 98 14 44 38 86 16 61 85 91 100 37 0 # 0 1 65 71 9 66 20 32 70 0 # 0 50 33 51 30 78 34 35 81 77 28 0 # 0 26 39 23 67 55 4 25 54 0 # | 0.3 0.7 
0 27 69 88 6 0 # 0 1 65 71 9 66 20 32 70 0 # 0 40 53 0 # 0 62 11 63 90 10 31 0 # 0 87 97 95 94 13 0 # 0 42 43 15 57 41 2 0 # 0 36 64 49 19 47 48 7 52 0 # 0 26 39 23 67 55 4 25 54 0 # 0 76 79 29 24 68 3 80 12 0 # 0 96 59 99 84 5 60 17 61 93 0 # 0 92 37 14 44 38 86 16 91 85 98 100 0 # 0 83 45 46 82 8 18 89 0 # 0 50 33 51 30 78 34 35 81 77 28 0 # 0 73 22 75 56 74 72 21 58 0 # | 0.3 0.7 
0 40 53 0 # 0 62 11 63 90 10 31 0 # 0 36 64 49 19 47 48 7 52 0 # 0 27 69 88 6 0 # 0 65 71 9 20 66 32 70 1 0 # 0 87 97 95 94 13 0 # 0 42 43 15 57 41 2 0 # 0 73 22 75 56 74 72 21 58 0 # 0 26 39 23 67 55 4 25 54 0 # 0 83 45 46 82 8 18 89 0 # 0 92 98 14 44 38 86 16 61 85 91 100 37 0 # 0 96 99 84 60 5 17 93 59 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 50 33 51 30 78 34 35 81 77 0 # | 0.3 0.7 
0 40 53 0 # 0 26 39 23 67 55 4 25 54 0 # 0 65 71 9 20 66 32 70 1 0 # 0 27 69 88 6 0 # 0 42 43 15 57 41 2 0 # 0 62 11 63 90 10 31 0 # 0 73 22 75 56 74 72 21 58 0 # 0 87 97 95 94 13 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 36 64 49 19 47 48 7 52 0 # 0 83 45 46 82 8 18 89 0 # 0 92 37 14 44 38 86 16 91 85 98 100 0 # 0 96 59 99 84 5 60 17 61 93 0 # | 0.3 0.7 
0 40 53 0 # 0 73 22 75 56 74 72 21 58 0 # 0 62 11 63 90 10 31 0 # 0 36 64 49 19 47 48 7 52 0 # 0 87 97 95 96 94 13 0 # 0 27 69 88 6 0 # 0 83 45 46 82 8 18 89 0 # 0 65 71 9 20 66 32 70 1 0 # 0 59 99 84 5 60 17 61 93 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 42 43 15 57 41 2 0 # 0 26 39 23 67 55 4 25 54 0 # 0 92 37 14 44 38 86 16 91 85 98 100 0 # 0 28 76 79 29 24 68 3 80 12 0 # | 0.3 0.7 
0 40 53 0 # 0 27 69 88 6 0 # 0 87 97 95 94 13 0 # 0 73 22 55 4 25 54 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 36 64 49 19 47 48 7 52 0 # 0 1 65 71 9 66 20 32 70 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 83 45 46 82 8 18 89 0 # 0 96 99 84 60 5 17 93 59 0 # 0 42 43 15 57 41 2 0 # 0 92 98 14 44 38 86 16 61 85 91 100 37 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 62 11 63 90 10 31 0 # | 0.1 0.9 
0 40 53 0 # 0 27 69 88 6 0 # 0 62 11 63 90 10 31 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 73 22 55 4 25 54 0 # 0 76 79 29 24 68 3 80 12 0 # 0 96 99 84 60 5 17 93 59 0 # 0 36 64 49 19 47 48 7 52 0 # 0 83 45 46 82 8 18 89 0 # 0 65 71 9 20 66 32 70 1 0 # 0 50 33 51 30 78 34 35 81 77 28 0 # 0 42 43 15 57 41 2 0 # 0 87 97 95 94 13 0 # 0 92 98 14 44 38 86 16 61 85 91 100 37 0 # | 0.1 0.9 
0 40 53 0 # 0 87 97 95 94 13 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 27 69 88 6 0 # 0 65 71 9 20 66 32 70 1 0 # 0 36 64 49 19 47 48 7 52 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 83 45 46 82 8 18 89 0 # 0 42 43 15 57 41 2 0 # 0 73 22 55 4 25 54 0 # 0 96 59 99 84 5 60 17 61 93 0 # 0 92 37 14 44 38 86 16 91 85 98 100 0 # 0 62 11 63 90 10 31 0 # 0 50 33 51 30 78 34 35 81 77 0 # | 0.1 0.9 
0 40 53 0 # 0 62 11 63 90 10 31 0 # 0 27 69 88 6 0 # 0 36 64 49 19 47 48 7 52 0 # 0 73 22 55 4 25 54 0 # 0 87 97 94 95 13 0 # 0 76 79 29 24 68 3 80 12 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 65 71 9 20 66 32 70 1 0 # 0 50 33 51 30 78 34 35 81 77 28 0 # 0 96 99 84 60 5 85 91 100 37 0 # 0 92 98 14 44 38 86 16 61 17 93 59 0 # 0 83 45 46 82 8 18 89 0 # 0 42 43 15 57 41 2 0 # | 0.1 0.9 
0 40 53 0 # 0 87 97 95 94 13 0 # 0 27 69 88 6 0 # 0 73 22 55 4 25 54 0 # 0 36 64 63 90 10 31 0 # 0 62 11 19 49 47 48 7 52 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 65 71 9 20 66 32 70 1 0 # 0 42 43 15 57 41 2 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 83 45 46 82 8 18 89 0 # 0 92 37 14 44 38 86 16 91 85 98 100 0 # 0 96 59 99 84 5 60 17 61 93 0 # | 0.1 0.9 
0 40 53 0 # 0 96 99 84 60 5 85 91 100 37 0 # 0 62 11 19 49 47 48 7 52 0 # 0 27 69 88 6 0 # 0 83 45 46 82 8 18 89 0 # 0 87 97 94 95 13 0 # 0 65 71 9 20 66 32 70 1 0 # 0 92 98 14 44 38 86 16 61 17 93 59 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 36 64 63 90 10 31 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 42 43 15 57 41 2 0 # 0 73 22 55 4 25 54 0 # | 0.1 0.9 
0 40 53 0 # 0 36 64 63 10 90 32 70 0 # 0 27 69 88 6 0 # 0 42 43 15 57 41 2 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 73 22 55 4 25 54 0 # 0 50 33 51 30 9 71 66 20 1 0 # 0 65 34 78 81 35 77 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 31 62 11 19 49 47 48 7 52 0 # 0 92 37 14 44 38 86 16 61 17 93 0 # 0 18 45 46 82 8 83 60 89 0 # 0 87 97 59 95 13 0 # 0 96 99 84 5 91 85 98 100 94 0 # | 0.1 0.9 
0 40 53 0 # 0 27 69 88 6 0 # 0 36 64 63 10 32 90 70 0 # 0 42 43 15 57 41 2 0 # 0 73 22 55 4 25 54 0 # 0 31 62 11 19 49 47 48 7 52 0 # 0 65 34 78 71 35 81 77 0 # 0 50 33 30 51 9 66 20 1 0 # 0 87 97 59 95 13 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 96 99 84 5 91 85 98 100 94 0 # 0 92 37 14 44 38 86 16 61 17 93 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 18 45 46 82 8 83 60 89 0 # | 0.1 0.9 
0 92 37 14 44 38 86 16 91 85 98 100 0 # 0 1 65 71 9 66 20 32 70 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 87 97 95 94 13 0 # 0 96 59 99 84 60 5 17 61 93 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 73 22 55 4 25 54 0 # 0 36 64 49 19 47 48 7 52 0 # 0 83 45 46 82 8 18 89 0 # 0 42 43 15 57 41 2 0 # 0 27 69 88 6 0 # 0 62 11 63 90 10 31 0 # 0 40 53 0 # | 0.4358974358974359 0.5641025641025641 
0 92 98 14 44 38 86 16 61 85 91 100 37 0 # 0 96 99 84 5 17 93 59 0 # 0 60 45 46 8 83 89 0 # 0 87 97 95 94 13 0 # 0 42 43 15 41 57 2 0 # 0 73 22 75 56 74 72 21 58 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 27 69 88 6 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 1 65 71 9 66 20 32 70 0 # 0 26 39 23 67 55 4 25 54 0 # 0 36 64 49 19 47 48 82 18 0 # 0 52 7 62 11 63 90 10 31 0 # 0 40 53 0 # | 0.8461538461538461 0.15384615384615385 
0 92 98 14 44 38 86 16 61 85 91 100 37 0 # 0 87 97 95 94 0 # 0 96 99 84 5 17 93 59 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 27 69 88 6 0 # 0 42 43 15 41 57 2 13 0 # 0 60 45 46 8 83 89 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 1 65 71 9 66 20 32 70 0 # 0 73 22 75 56 74 72 21 58 0 # 0 26 39 23 67 55 4 25 54 0 # 0 52 7 62 11 63 90 10 31 0 # 0 36 64 49 19 47 48 82 18 0 # 0 40 53 0 # | 0.9487179487179487 0.05128205128205132 
0 92 98 14 44 38 86 16 61 85 91 100 37 0 # 0 96 99 84 17 93 59 0 # 0 87 97 95 94 0 # 0 60 45 46 8 83 5 89 0 # 0 42 43 15 41 57 2 13 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 52 7 62 11 63 90 10 31 0 # 0 1 65 71 9 66 20 32 70 0 # 0 36 64 49 19 47 48 82 18 0 # 0 27 69 88 6 0 # 0 73 22 75 56 74 72 21 58 0 # 0 26 39 23 67 55 4 25 54 0 # 0 40 53 0 # | 0.9487179487179487 0.05128205128205132 
0 92 37 14 44 38 86 16 91 85 98 100 0 # 0 83 45 46 82 8 18 89 0 # 0 96 59 99 84 5 60 17 61 93 0 # 0 2 87 97 95 94 13 0 # 0 73 22 75 56 74 72 21 58 0 # 0 62 11 19 49 47 48 7 52 0 # 0 27 69 88 6 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 26 39 23 67 55 4 25 54 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 36 64 63 90 10 31 0 # 0 42 43 15 57 41 0 # 0 65 71 9 20 66 32 70 1 0 # 0 40 53 0 # | 0.5641025641025641 0.4358974358974359 
0 96 99 84 5 98 85 91 100 0 # 0 92 37 14 44 38 86 16 61 17 93 94 0 # 0 18 45 46 82 8 83 60 89 0 # 0 36 64 49 19 47 48 7 52 0 # 0 73 22 75 56 74 72 21 58 0 # 0 26 39 23 67 55 4 25 54 0 # 0 27 69 88 6 0 # 0 87 97 59 95 13 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 62 11 63 90 10 31 0 # 0 65 71 9 20 66 32 70 1 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 42 43 15 57 41 2 0 # 0 40 53 0 # | 0.48717948717948717 0.5128205128205128 
0 73 22 55 4 25 54 0 # 0 26 39 23 67 75 56 74 72 21 58 0 # 0 18 45 46 82 8 83 60 89 0 # 0 96 99 84 5 98 85 91 100 0 # 0 42 43 15 57 41 2 0 # 0 28 76 79 29 24 68 3 80 12 0 # 0 92 37 14 44 38 86 16 61 17 93 94 0 # 0 87 97 59 95 13 0 # 0 36 64 49 19 47 48 7 52 0 # 0 27 69 88 6 0 # 0 65 71 9 20 66 32 70 1 0 # 0 50 33 51 30 78 34 35 81 77 0 # 0 62 11 63 90 10 31 0 # 0 40 53 0 # | 0.41025641025641024 0.5897435897435898 
