0 28 12 29 33 65 71 9 51 81 76 50 3 79 78 34 35 66 20 32 10 70 48 60 89 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 26 53 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 30 90 64 49 46 8 18 84 17 91 100 37 93 96 13 58 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 6 94 97 87 43 57 74 56 4 25 55 54 24 80 68 77 1 0 # | 0.9 0.09999999999999998 
0 95 59 92 42 15 2 21 73 72 39 67 23 75 22 41 57 87 40 53 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 30 90 64 49 46 8 18 84 96 94 13 97 37 43 100 91 93 17 48 60 89 58 0 # 0 28 12 76 33 65 71 9 79 29 3 50 51 81 78 34 35 66 20 32 10 70 1 0 # 0 26 74 56 4 25 55 54 24 80 68 77 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 6 0 # | 0.9 0.09999999999999998 
0 97 37 100 91 93 96 13 58 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 94 6 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 27 69 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 84 87 43 57 74 56 4 26 54 55 25 24 80 68 77 0 # 0 28 12 76 33 65 71 9 78 29 3 79 81 51 20 10 90 32 66 35 34 50 1 70 48 17 60 89 0 # | 0.6 0.4 
0 97 37 100 91 93 96 13 58 0 # 0 27 69 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 84 87 43 57 74 56 4 26 54 55 25 24 80 68 77 0 # 0 28 12 76 33 65 71 78 29 3 79 81 9 51 20 10 90 32 66 35 34 50 1 70 48 17 60 89 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 94 6 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # | 0.6 0.4 
0 83 45 5 59 98 92 95 2 15 42 14 44 38 86 16 61 84 85 99 6 0 # 0 21 72 39 67 23 75 22 41 73 40 53 0 # 0 28 12 76 33 65 71 9 81 29 78 79 3 50 51 20 10 90 32 66 35 34 24 25 55 54 80 68 77 1 70 0 # 0 27 52 69 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 94 97 87 43 57 74 56 4 26 13 96 93 37 100 91 17 48 60 89 58 0 # | 0.5 0.5 
0 13 96 93 37 100 91 17 48 60 89 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 52 0 # 0 28 12 29 33 65 71 51 30 90 64 49 46 8 18 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 58 0 # 0 83 45 5 61 44 14 38 86 16 85 84 99 6 0 # 0 95 59 92 98 42 15 2 72 39 67 23 75 22 41 73 21 40 53 76 50 3 79 81 9 78 34 35 66 20 32 10 70 1 0 # | 0.4 0.6 
0 96 37 100 91 93 13 58 0 # 0 28 21 72 39 67 23 75 22 41 73 40 53 0 # 0 2 15 42 14 44 38 86 16 61 98 99 94 6 0 # 0 27 69 30 33 65 71 9 78 29 12 76 3 79 81 51 20 10 90 32 66 35 34 50 1 70 48 17 60 89 0 # 0 95 92 59 5 83 45 82 47 36 64 63 11 62 88 31 52 18 7 19 49 46 8 84 85 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 0 # | 0.5 0.5 
0 96 37 100 91 93 13 58 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 76 50 3 79 81 9 78 34 35 66 20 32 10 70 48 17 60 89 0 # 0 28 12 29 33 65 71 51 30 90 64 49 19 46 8 18 0 # 0 5 83 45 47 36 11 63 62 88 31 69 27 52 7 82 84 61 16 44 38 86 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 1 0 # | 0.4 0.6 
0 96 37 100 91 93 13 58 0 # 0 28 12 29 33 65 71 51 30 90 64 49 19 46 8 18 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 76 50 3 79 9 81 78 34 35 66 20 32 10 70 48 17 60 89 0 # 0 5 83 45 47 36 11 63 62 88 31 69 27 52 7 82 84 61 16 44 38 86 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 1 0 # | 0.4 0.6 
0 21 73 72 39 67 23 75 22 41 57 87 40 53 0 # 0 27 69 31 62 11 63 64 36 47 82 7 88 52 0 # 0 83 45 5 59 98 92 95 2 15 42 14 44 38 86 16 61 85 99 94 6 0 # 0 28 12 29 76 33 65 71 9 81 51 30 90 19 49 46 8 18 84 96 97 37 43 74 56 4 25 55 54 24 80 68 77 0 # 0 26 58 13 93 100 91 17 48 60 89 0 # 0 50 3 79 78 34 35 66 20 32 10 70 1 0 # | 0.4 0.6 
0 28 21 72 39 67 23 75 22 41 73 40 53 0 # 0 27 69 33 65 71 9 78 29 12 76 3 79 50 81 51 20 90 10 32 66 35 34 24 25 55 54 80 68 77 1 70 0 # 0 52 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 94 97 87 43 57 74 56 4 26 13 96 93 37 100 91 17 48 60 89 58 0 # 0 83 45 5 59 98 92 95 2 15 42 14 44 38 86 16 61 84 85 99 6 0 # | 0.5 0.5 
0 28 21 72 39 67 23 75 22 41 73 40 53 0 # 0 27 69 33 65 71 9 78 29 12 76 3 79 50 81 51 20 90 10 32 66 35 34 24 25 55 54 80 68 77 1 70 0 # 0 83 45 5 59 98 92 95 2 15 42 14 44 38 86 16 61 84 85 99 6 0 # 0 52 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 94 97 87 57 43 74 56 4 26 13 96 93 37 100 91 17 48 60 89 58 0 # | 0.5 0.5 
0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 83 45 5 61 44 14 38 86 16 98 99 94 6 0 # 0 28 69 30 33 65 71 9 78 29 12 76 3 79 50 81 51 20 90 10 32 66 35 34 24 25 55 54 80 68 77 1 70 0 # 0 27 31 62 11 63 64 36 47 82 18 52 88 7 19 49 46 8 84 85 97 87 43 57 74 56 4 26 13 96 93 37 100 91 17 48 60 89 58 0 # | 0.5 0.5 
0 26 50 3 34 35 66 20 32 10 70 1 0 # 0 13 96 93 37 100 91 17 48 60 89 58 0 # 0 52 83 45 5 44 14 38 86 16 61 84 85 99 6 0 # 0 95 59 92 98 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 28 12 29 33 65 71 9 51 81 78 79 76 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 30 90 64 49 46 8 18 94 97 87 43 57 74 56 4 54 55 25 24 80 68 77 0 # | 0.3 0.7 
0 96 37 100 91 93 13 58 0 # 0 28 12 29 33 65 71 51 30 90 64 49 19 46 8 18 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 76 50 3 79 78 81 9 20 34 35 66 32 10 48 17 60 89 0 # 0 5 83 45 47 36 11 63 62 88 31 69 27 52 7 82 84 61 16 44 38 86 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 1 70 0 # | 0.3 0.7 
0 50 3 34 35 66 20 32 10 70 1 0 # 0 13 96 93 37 100 91 17 48 60 89 0 # 0 95 59 92 98 42 15 2 73 72 39 67 23 75 22 41 21 40 53 0 # 0 27 69 31 62 63 11 19 36 47 82 7 88 30 90 64 49 46 8 18 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 58 0 # 0 52 83 45 5 44 14 38 86 16 61 84 85 99 6 0 # 0 28 12 29 33 65 71 9 51 81 78 79 76 0 # | 0.1 0.9 
0 13 96 93 37 100 91 17 48 60 89 0 # 0 50 3 34 35 66 20 32 10 70 1 0 # 0 27 52 69 31 30 90 64 49 46 8 18 0 # 0 28 12 29 33 65 71 9 51 81 78 79 76 0 # 0 95 59 92 98 14 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 5 83 45 36 47 19 11 63 62 88 7 82 84 61 16 44 38 86 85 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 58 0 # | 0.1 0.9 
0 26 58 13 93 100 91 17 48 60 89 0 # 0 50 79 78 3 34 35 66 20 32 10 70 1 0 # 0 28 12 29 76 33 65 71 9 81 51 30 90 19 49 46 8 18 84 96 97 37 43 74 56 4 25 55 54 24 80 68 77 0 # 0 21 73 72 39 67 23 75 22 41 57 87 40 53 0 # 0 27 69 31 62 11 63 64 36 47 82 7 88 52 0 # 0 83 45 5 59 98 92 95 2 15 42 14 44 38 86 16 61 85 99 94 6 0 # | 0.1 0.9 
0 95 92 59 5 83 45 82 47 36 19 11 64 63 62 88 31 52 0 # 0 27 69 30 33 65 71 9 78 29 12 76 51 81 79 3 26 94 6 96 97 37 43 74 56 4 25 55 54 24 80 68 77 58 13 0 # 0 28 21 73 72 39 67 23 75 22 41 57 87 40 53 0 # 0 2 15 42 14 44 38 86 16 85 98 99 61 84 18 7 8 46 49 90 10 32 20 66 35 34 50 1 70 48 17 91 100 93 60 89 0 # | 0.1 0.9 
0 95 59 92 98 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 26 50 3 34 35 66 20 32 10 70 1 0 # 0 28 12 29 33 65 71 9 51 81 78 79 76 0 # 0 52 83 45 5 44 14 38 86 16 61 84 85 99 6 0 # 0 13 96 93 37 100 91 17 48 60 89 58 0 # 0 27 69 31 62 63 11 36 47 82 7 88 30 90 64 49 19 46 8 18 94 97 87 57 43 74 56 4 54 55 25 24 80 68 77 0 # | 0.1 0.9 
0 28 21 73 72 39 67 23 75 22 41 57 87 40 53 0 # 0 95 92 59 5 83 45 82 47 36 19 11 64 63 62 88 31 52 0 # 0 27 69 30 33 65 71 78 29 12 76 51 9 81 79 3 26 94 6 96 97 37 43 74 56 4 25 55 54 24 80 68 77 58 13 0 # 0 2 15 42 14 44 38 86 16 85 98 99 61 84 18 7 8 46 49 90 10 32 20 66 35 34 50 1 70 48 17 91 100 93 60 89 0 # | 0.1 0.9 
0 26 50 3 34 35 66 20 32 10 70 1 48 17 91 100 93 60 89 0 # 0 28 12 29 33 65 71 9 51 81 78 79 76 0 # 0 95 59 92 42 15 2 21 73 72 39 67 23 75 22 41 57 87 40 53 0 # 0 83 45 5 61 44 14 38 86 16 85 98 99 94 6 0 # 0 27 52 82 47 36 11 63 62 88 31 69 30 90 64 49 19 7 18 8 46 84 96 97 37 43 74 56 4 25 55 54 24 80 68 77 58 13 0 # | 0.1 0.9 
0 26 50 3 34 35 66 20 32 10 70 1 0 # 0 95 59 92 98 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 28 12 29 33 65 71 51 9 81 78 79 76 0 # 0 13 96 93 37 100 91 17 48 60 89 58 0 # 0 52 83 45 5 44 14 38 86 16 61 84 85 99 6 0 # 0 27 69 31 62 63 11 36 47 82 7 88 30 90 64 49 19 46 8 18 94 97 87 57 43 74 56 4 54 55 25 24 80 68 77 0 # | 0.1 0.9 
0 28 21 72 39 67 23 75 22 41 73 40 53 0 # 0 27 69 33 71 65 29 12 76 30 51 9 81 78 79 3 50 10 90 20 32 66 35 34 24 25 55 54 80 68 77 1 70 0 # 0 95 92 59 5 83 45 82 47 36 64 63 11 62 88 31 52 18 7 19 49 46 8 84 85 97 87 57 43 74 56 4 26 13 96 93 37 100 91 17 48 60 89 58 0 # 0 2 15 42 14 44 38 86 16 61 98 99 94 6 0 # | 0.0 1.0 
0 27 69 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 84 17 91 100 37 93 96 13 58 0 # 0 28 12 76 33 65 71 9 78 29 3 79 81 51 20 10 90 32 66 35 34 50 1 70 48 60 89 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 26 53 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 6 94 97 87 43 57 74 56 4 25 55 54 24 80 68 77 0 # | 0.9230769230769231 0.07692307692307687 
0 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 0 # 0 27 69 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 84 17 91 100 37 93 96 13 58 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # 0 28 12 76 33 65 71 9 78 29 3 79 81 51 20 10 90 32 66 35 34 50 1 70 48 60 89 0 # 0 52 83 45 5 61 44 14 38 86 16 85 98 99 6 0 # | 0.8461538461538461 0.15384615384615385 
0 52 83 45 5 61 44 14 38 86 16 85 98 99 6 94 97 87 43 57 74 56 4 26 54 55 25 24 80 68 77 0 # 0 27 69 31 30 63 19 36 47 82 7 88 62 11 64 49 46 8 18 84 17 91 100 37 93 96 13 58 0 # 0 28 12 76 33 65 71 9 78 29 3 79 81 51 20 10 90 32 66 35 34 50 1 70 48 60 89 0 # 0 95 59 92 42 15 2 72 39 67 23 75 22 41 73 21 40 53 0 # | 0.8974358974358975 0.10256410256410253 
| 0.8461538461538461 0.15384615384615385 
| 0.9487179487179487 0.05128205128205132 
| 0.8205128205128205 0.17948717948717952 
| 0.9230769230769231 0.07692307692307687 
| 0.9743589743589743 0.02564102564102566 
| 0.8974358974358975 0.10256410256410253 
| 0.6923076923076923 0.3076923076923077 
