0 52 7 88 62 63 90 30 51 9 81 78 79 76 12 26 40 53 0 # 0 27 69 1 50 33 3 29 34 71 65 35 66 20 32 10 70 31 0 # 0 28 21 73 72 39 67 23 41 15 57 2 22 74 75 56 4 25 55 54 24 80 68 77 0 # 0 83 45 82 48 47 36 19 11 64 49 46 8 18 84 17 5 60 89 0 # 0 92 42 14 44 38 86 16 61 91 85 99 96 6 94 97 87 43 100 37 98 93 59 95 13 58 0 # | 0.9 0.09999999999999998 
0 52 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 82 7 18 83 84 17 91 100 93 5 60 89 13 58 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 92 42 15 14 44 38 86 16 61 85 98 37 59 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 55 25 54 24 80 68 77 12 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # | 0.8 0.19999999999999996 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 50 33 71 65 34 78 29 76 3 79 81 51 9 35 66 20 32 10 70 0 # 0 52 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 82 7 18 83 84 17 91 100 93 5 60 89 13 58 0 # 0 92 42 15 14 44 38 86 16 61 85 98 37 59 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 55 25 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 52 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 82 7 18 83 84 17 91 100 93 5 60 89 13 58 0 # 0 27 69 1 50 33 65 71 34 78 29 76 3 79 81 51 9 35 66 20 32 10 70 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 92 42 15 14 44 38 86 16 61 85 98 37 59 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 55 25 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 58 13 59 93 98 37 100 91 85 17 60 89 0 # 0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 83 45 82 7 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 52 0 # 0 92 42 15 14 44 38 86 16 61 84 5 99 96 6 94 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 92 42 15 14 44 38 86 16 61 84 5 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 58 13 59 93 98 37 100 91 85 17 83 60 89 0 # 0 45 82 7 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 52 0 # | 0.8 0.19999999999999996 
0 58 13 59 37 100 98 93 17 60 89 0 # 0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 83 45 82 7 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 52 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 92 42 15 14 44 38 86 16 91 85 61 84 5 99 96 6 94 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 58 13 59 37 100 98 93 17 83 60 89 0 # 0 92 42 15 14 44 38 86 16 91 85 61 84 5 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # | 0.8 0.19999999999999996 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 0 # 0 89 60 17 93 98 100 37 13 58 0 # 0 83 45 82 7 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 52 0 # 0 92 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 27 69 1 50 76 33 71 65 34 78 29 79 3 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.8 0.19999999999999996 
0 27 69 1 50 76 33 71 65 34 78 29 79 3 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.8 0.19999999999999996 
0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 27 69 1 50 33 71 65 34 78 29 79 3 76 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.8 0.19999999999999996 
0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 27 69 1 33 71 65 34 78 29 79 3 76 50 51 81 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.8 0.19999999999999996 
0 27 69 1 50 33 71 65 34 78 29 79 3 76 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.8 0.19999999999999996 
0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 59 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 74 72 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 27 69 1 33 71 65 34 78 29 79 3 76 50 51 81 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.8 0.19999999999999996 
0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 59 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 92 37 42 15 14 44 38 86 16 91 98 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 27 69 1 33 65 71 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 92 98 37 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 92 37 42 15 14 44 38 86 16 91 98 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 33 65 71 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 89 60 17 93 100 13 58 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 83 18 0 # | 0.7 0.30000000000000004 
0 27 69 1 33 71 65 34 78 29 12 76 50 3 79 81 51 9 35 66 20 32 10 70 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 0 # 0 92 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 0 # 0 58 13 37 100 98 93 17 83 60 89 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # | 0.7 0.30000000000000004 
0 27 69 1 33 71 65 34 78 29 79 3 12 76 50 81 51 9 35 66 20 32 10 70 0 # 0 52 7 82 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 0 # 0 92 42 15 14 44 38 86 16 91 85 61 84 5 99 59 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 0 # 0 58 13 37 100 98 93 17 83 60 89 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # | 0.7 0.30000000000000004 
0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 83 45 82 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 7 10 32 66 35 20 70 52 89 60 17 93 100 13 58 0 # 0 94 95 92 42 15 14 44 38 86 16 61 84 5 6 96 99 59 85 91 98 37 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.8 0.19999999999999996 
0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 28 26 39 67 23 41 22 72 73 21 40 53 0 # 0 52 83 45 82 48 47 36 19 63 30 31 88 62 11 64 49 46 8 18 7 10 90 32 66 35 20 70 89 60 17 100 93 59 13 58 0 # 0 92 42 15 14 44 38 86 16 91 37 98 85 61 84 5 99 96 6 94 95 97 87 43 57 2 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.5 0.5 
0 52 83 45 82 48 47 36 19 63 30 31 88 62 11 64 49 46 8 18 7 10 90 32 66 35 20 70 89 60 17 100 93 59 13 58 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 92 42 15 14 44 38 86 16 91 37 98 85 61 84 5 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # | 0.5 0.5 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 92 42 15 14 44 38 86 16 91 37 98 85 61 84 5 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 52 83 45 82 48 47 36 19 63 30 31 88 62 11 64 49 46 8 18 7 10 90 32 66 35 20 70 89 60 17 100 93 59 13 58 0 # | 0.5 0.5 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 94 95 92 42 15 14 44 38 86 16 61 84 5 6 96 99 59 85 91 98 37 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 83 45 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 82 7 10 32 66 35 20 70 52 89 60 17 93 100 13 58 0 # | 0.7 0.30000000000000004 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 83 45 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 82 48 7 10 32 66 35 20 70 52 89 60 17 93 100 13 58 0 # 0 94 95 92 42 15 14 44 38 86 16 61 84 5 6 96 99 59 85 91 98 37 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.6 0.4 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 92 42 15 14 44 38 86 16 61 84 5 85 91 98 37 59 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 83 45 47 36 11 63 62 88 31 30 90 64 49 19 48 46 8 18 82 7 10 32 66 35 20 70 52 89 60 17 93 100 13 58 0 # | 0.5 0.5 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 92 37 42 15 14 44 38 86 16 61 84 5 85 91 98 59 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 83 45 47 36 11 63 62 88 31 30 90 64 49 19 48 46 8 18 82 7 10 32 66 35 20 70 52 89 60 17 93 100 13 58 0 # | 0.5 0.5 
0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 83 45 36 47 19 11 63 62 88 30 90 64 49 48 46 8 82 7 18 52 31 10 32 66 35 20 70 89 60 17 100 93 59 13 58 0 # 0 92 42 15 14 44 38 86 16 61 84 5 85 91 37 98 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 55 25 54 24 80 68 77 12 0 # | 0.6 0.4 
0 28 26 21 72 39 67 23 41 22 73 40 53 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 83 45 47 36 19 11 63 62 88 31 30 90 64 49 48 46 8 82 18 52 7 10 32 66 35 20 70 89 60 17 93 100 37 13 58 0 # 0 92 42 15 14 44 38 86 16 61 84 5 85 91 98 59 99 96 6 94 95 97 87 43 57 2 74 75 56 4 54 55 25 24 80 68 77 12 0 # | 0.6 0.4 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 45 47 36 11 63 62 88 30 90 64 49 19 48 46 8 83 18 82 7 31 10 32 66 35 20 70 52 89 60 17 93 100 13 58 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 94 95 92 42 15 14 44 38 86 16 61 84 5 6 96 99 59 85 91 98 37 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.3 0.7 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 92 37 42 15 14 44 38 86 16 61 84 5 85 91 98 59 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 45 47 36 11 63 62 88 30 90 64 49 19 48 46 8 83 18 82 7 31 10 32 66 35 20 70 52 89 60 17 93 100 13 58 0 # | 0.3 0.7 
0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 28 26 39 67 23 41 22 73 40 53 0 # 0 83 45 47 36 11 63 62 88 30 90 64 49 19 48 46 8 18 82 7 52 31 10 32 66 35 20 70 89 60 17 93 100 37 13 58 0 # 0 92 42 15 14 44 38 86 16 61 84 5 85 91 98 59 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.2 0.8 
0 52 83 45 47 36 11 63 62 88 31 30 90 64 49 19 48 46 8 18 82 7 10 32 20 66 35 34 24 80 68 77 50 70 0 # 0 28 12 39 67 23 41 22 73 40 53 0 # 0 92 42 15 14 44 38 86 16 61 84 5 85 91 98 59 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 26 58 13 37 100 93 17 60 89 0 # 0 27 69 1 33 65 71 51 81 9 78 29 79 3 76 0 # | 0.1 0.9 
0 28 26 39 67 23 41 22 73 40 53 0 # 0 92 42 15 14 44 38 86 16 61 84 5 85 91 98 59 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 50 33 29 34 65 71 9 51 81 78 79 3 76 0 # 0 45 47 36 11 63 62 88 30 90 64 49 19 48 46 8 83 18 82 7 52 31 10 32 66 35 20 70 89 60 17 93 100 37 13 58 0 # | 0.1 0.9 
0 28 76 12 39 67 23 41 22 73 40 53 0 # 0 83 45 36 47 19 11 64 63 62 88 18 52 0 # 0 27 69 1 50 33 71 65 34 29 3 79 78 81 9 51 30 90 49 46 8 82 48 7 31 10 32 66 35 20 70 89 60 17 93 100 37 13 58 0 # 0 92 42 15 14 44 38 86 16 61 84 5 85 91 98 59 99 96 6 94 95 97 87 43 57 2 21 72 74 75 56 4 25 55 54 24 80 68 77 26 0 # | 0.1 0.9 
0 27 69 1 30 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 31 0 # 0 83 45 82 48 47 36 64 11 63 90 62 88 7 19 49 46 8 18 52 0 # 0 92 42 15 14 44 38 86 16 61 84 5 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 89 60 17 85 91 100 37 98 93 59 13 58 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # | 0.9230769230769231 0.07692307692307687 
0 52 83 45 82 7 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 94 92 42 15 14 44 38 86 16 61 84 5 99 96 6 0 # 0 27 69 1 33 65 71 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 0 # 0 89 60 17 85 91 100 37 98 93 59 13 58 0 # | 0.7948717948717948 0.20512820512820518 
0 52 83 45 82 7 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # 0 27 69 1 33 71 65 34 78 29 79 3 76 50 81 51 9 35 66 20 32 10 70 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 94 92 42 15 14 44 38 86 16 61 84 5 99 96 6 0 # 0 89 60 17 85 91 100 37 98 93 59 13 58 0 # | 0.8205128205128205 0.17948717948717952 
0 83 45 82 7 48 47 36 19 11 63 62 88 31 30 90 64 49 46 8 18 60 17 85 91 100 37 98 93 59 13 58 0 # 0 27 69 1 50 76 33 71 65 34 78 29 3 79 81 51 9 35 66 20 32 10 70 52 89 0 # 0 28 26 39 67 23 41 22 73 21 40 53 0 # 0 92 42 15 14 44 38 86 16 61 84 5 99 96 6 94 95 97 87 43 57 2 72 74 75 56 4 25 55 54 24 80 68 77 12 0 # | 0.9230769230769231 0.07692307692307687 
